"position","sim_001","sim_002","sim_003","sim_004","sim_005","sim_006","sim_007","sim_008","sim_009","sim_010","sim_011","sim_012","sim_013","sim_014","sim_015","sim_016","sim_017","sim_018"
36,8181,6021,767,8483,13747,1737,18588,12525,16604,6031,3273,10628,14807,17443,16882,17900,4540,6941
37,13976,8324,10379,4150,5928,9723,19916,3661,15832,17745,6639,3885,11984,4701,12872,8814,10552,6222
38,16436,2359,8518,18832,4635,1808,16298,7071,9349,918,19791,4440,19119,6356,7568,14650,4172,9343
39,4191,365,3487,16394,11045,1193,4737,609,14398,12575,3619,14592,4637,13085,19926,19827,6557,2085
40,6122,6681,13228,11030,9194,10808,2422,17596,14235,5258,12308,8635,5109,14794,1600,7552,1220,19784
41,19291,4066,12411,10431,15490,11303,2229,14270,17292,11133,17159,528,19319,14081,12751,9710,10327,18623
42,3088,3305,19369,2520,16017,15769,6419,9479,7933,19023,10437,9660,5801,8146,511,19166,1755,2637
43,14248,7181,12062,2380,10164,15361,19215,12208,17236,3327,9466,18920,14521,14316,3051,9246,5796,1836
44,6167,10327,19173,18412,10218,11953,15917,9573,16128,15827,17432,13013,4305,18544,2302,18327,1435,19909
45,13759,4355,11688,18545,11625,13482,7651,10656,11559,15595,9296,11625,10159,125,12121,6763,3404,8457
46,5353,5557,1942,10350,5174,9679,15033,3199,7574,7134,540,5599,12751,17325,14071,19294,1291,13145
47,14650,13068,5532,14088,14892,3878,17334,1695,12161,18487,12846,12419,3428,6962,4073,1360,6962,17890
48,6841,18302,3408,15625,3595,17960,16961,5135,7561,4270,15989,253,19509,17402,9685,13927,1461,263
49,13096,15113,10602,14205,18964,2957,7700,18815,17091,19521,11861,17619,766,19446,223,14142,2463,7288
50,1440,5265,1602,14616,1574,5012,10481,14694,1584,567,1616,11779,18354,10960,16094,12824,12919,10676
51,3194,3708,2287,19129,5387,16720,1776,12759,12078,18878,10051,16566,12452,9901,13847,6663,1664,15323
52,8649,2529,7955,3627,5402,6952,9424,17074,17187,6168,1310,15069,17162,16169,7241,4727,1425,13068
53,7325,4646,3200,13625,9320,9673,13265,445,2348,15305,17139,18502,12720,14270,5717,9179,3015,8888
54,7174,12344,10915,2849,18928,11711,13131,10818,15179,3655,12717,8759,2890,17912,9988,3961,6830,3162
55,8753,17265,2746,734,14578,14136,5857,18078,5991,14262,12815,12937,12563,1760,2636,4291,10800,17030
56,2559,13467,16115,15938,13243,11511,7294,13244,15965,3142,3714,14939,3438,10804,13596,2680,14621,10043
57,8987,1362,10976,10511,671,16255,14675,10626,10082,18396,17699,5361,12087,12009,16848,18688,7145,14525
58,9079,2265,3162,4636,15594,10963,9920,5487,11274,7004,17576,13881,12643,14194,8742,19531,13710,17340
59,19398,16804,8948,17668,5620,6693,11311,12106,2951,15383,1042,9605,10476,10722,9422,10114,12723,11630
60,16312,3768,5561,18321,5420,6170,7632,4196,14776,13957,5037,8558,10641,1087,17053,1719,4358,6401
61,12418,7623,16253,4308,13615,8952,12245,9761,13326,909,19124,9625,16768,9546,15431,16519,9672,2457
62,15803,11359,6831,11013,17256,4998,11105,4653,6851,11395,2913,9012,11845,7276,18797,14331,10915,10340
63,1085,17560,17616,3545,15027,2680,1611,17644,2766,17756,17851,12966,3711,17720,9590,6803,18007,7613
64,15555,15415,1373,4479,6020,8579,15987,14662,10903,16451,14551,8465,15556,16231,10371,19230,11562,9514
65,8593,156,19479,16668,10736,9700,2870,14317,12891,10511,19514,8952,10462,104,14670,9190,13644,10742
66,2825,8489,19131,9255,15985,7672,7613,6085,13177,1494,9665,14163,7059,18170,12590,2694,10174,198
67,7841,17424,6865,7356,6726,19127,8787,19277,19349,15967,13450,16227,16522,15277,19282,4225,4523,6258
68,19893,3539,8154,9182,15598,10221,9414,15767,5786,14526,3639,16918,1024,19056,2633,15052,10311,16670
69,17047,13141,824,13944,4454,19168,150,18201,13354,5193,13198,19020,10928,16851,7583,9618,4234,7596
70,8100,16598,7541,16019,13407,7637,9166,3208,19427,19925,672,10214,3877,8518,7526,7302,19098,4569
71,9172,18758,12660,17904,18146,4633,8476,16831,17136,16911,11231,6709,14912,14894,12544,15385,5469,6034
72,10010,19813,9528,1318,8106,10891,8837,15387,8297,9799,16781,2372,6157,5630,16314,6217,2167,14091
73,12399,4437,10479,7507,1130,8906,14478,17436,17722,2943,7812,13803,1234,12483,16625,163,7429,7854
74,17963,19358,6933,8262,6563,11863,16771,10068,13539,11654,13567,7115,6674,11057,6182,17200,18089,1938
75,9862,17761,14420,13245,8112,8656,10098,15612,8973,4255,9628,2100,9258,15807,5083,7474,17740,16165
76,4208,3209,17600,373,12724,8365,864,6332,8827,17289,7168,463,12121,19218,2830,13941,9934,10995
77,18727,11479,18414,6015,3708,17980,6292,19730,17387,11626,7927,18730,4375,8264,11373,8830,8101,9628
78,3100,19160,3314,15600,5783,9178,15341,18864,10021,13399,10935,15962,10000,18139,10534,397,10571,19824
79,4363,19344,7813,6439,17279,12228,11365,19675,14252,18470,875,5080,14764,1262,14877,9238,18055,2599
80,3432,18987,7577,237,18755,18106,10331,16608,7726,19583,12917,16853,15816,1768,19765,12181,3169,2437
81,4988,1921,9892,16809,10505,5261,14453,17195,15586,12827,13467,16860,9142,17059,4772,2186,18816,8926
82,4412,11994,14234,699,15723,256,2966,4784,1879,16407,4180,16941,9845,9869,17402,19375,13859,17864
83,12934,718,2193,9980,12341,4241,12510,14476,10789,13210,16926,12213,5828,1493,9836,10335,8652,16690
84,513,15408,9712,17017,5290,14122,16231,14016,10072,16135,18096,609,9097,2669,5335,14582,19405,4237
85,9954,9557,11755,1508,7383,2152,15067,15955,5626,1856,5441,14872,4814,11326,8727,17957,2494,9812
86,6544,7000,5933,13649,13362,5738,18275,2265,19905,16880,14688,7879,13104,3849,13047,13201,1852,2830
87,16139,11403,7924,5104,6080,1336,3302,19847,3667,2502,13165,242,19987,16859,4187,2068,10542,11354
88,13251,5588,11614,12864,18143,6159,8558,16435,2236,12524,10275,9076,17090,15596,14650,3765,579,16295
89,3621,15253,14545,18272,12347,19892,17913,6979,15871,6381,16993,7115,2239,16344,14291,6838,11066,2462
90,13225,3182,15097,17513,11832,9249,6673,8241,12491,18762,9492,2086,5999,13634,6260,6361,12328,4106
91,19394,11217,14674,7057,1755,13184,6419,14936,9245,4794,12533,10349,952,4249,11201,6550,13132,7220
92,1876,19570,16802,4804,10301,16744,19383,15543,15241,11682,7204,1724,7598,8323,16337,1306,16893,5062
93,11941,5689,10523,16870,8214,18422,1260,5920,16161,6470,3108,18094,12673,6581,9125,18497,10016,1346
94,13521,6496,4686,13203,2198,5047,5184,17133,7088,15778,9582,15685,13219,12776,15405,16605,8508,8519
95,11033,5574,18299,6185,16413,11321,14774,18846,17195,3886,18701,8511,14062,5917,11634,11632,3606,8527
96,3791,11780,6825,18656,13106,19308,8562,16683,2718,14369,16393,9831,13005,6460,13381,19919,15364,12891
97,1638,14837,16798,10552,1862,9593,14841,18338,14909,9743,19008,7042,18486,9502,1078,12100,13987,11384
98,17023,12772,3868,4489,19075,1764,18476,19361,8647,14005,8183,15982,503,17895,15503,8268,19576,8987
99,1839,13595,13654,8176,2381,6772,15434,19488,10113,10783,1802,12041,2572,5732,5104,16750,14890,2118
100,9371,1331,3207,16258,2644,4248,18386,2306,6575,3227,3009,4935,13346,15892,6472,11541,8467,1802
101,6697,4245,15475,3706,9471,14918,13048,3854,2601,6457,3499,18341,19672,19390,6829,7997,19510,6249
102,18485,1401,15043,10828,18320,5122,10411,18508,8050,13270,16227,876,835,14642,14563,4146,13480,9678
103,4865,3581,10041,2630,12369,8112,14409,5434,7647,6951,9374,10793,4219,14212,6434,11334,16395,9189
104,15883,11137,6647,4899,3923,8592,3125,1207,10703,4825,15156,12416,15074,8216,11406,11309,14644,19374
105,3139,2533,11625,5905,10799,7108,15711,2141,4847,9169,3539,15968,14931,10643,5488,16648,15861,16675
106,11719,3021,15093,7764,10126,12705,11754,7979,11739,4131,7701,14269,4301,12382,7301,6867,5291,8987
107,19626,14107,10595,6156,19904,3295,17592,18043,12568,12063,15230,16711,10665,17938,12301,13204,6422,712
108,11614,1621,8639,9511,16192,8768,16402,10359,13286,11917,17081,747,1755,9100,3034,2801,8868,17626
109,9802,6760,1232,7154,18892,9197,13255,14391,1625,4104,14622,11219,8241,7813,5693,512,18136,724
110,11915,12198,11544,18509,7503,15163,14960,13407,15590,6885,16843,10492,19448,17358,250,15919,8335,2124
111,18794,12409,191,17840,140,16278,4885,14023,19510,2853,7622,1457,11640,10261,13447,12926,2423,17608
112,3369,12699,13923,14441,3473,4137,16684,17450,5063,6453,13346,13731,19283,10162,6607,13079,7852,17936
113,8582,14967,8368,15162,17524,8911,16043,7729,7317,13074,10120,16187,14630,3627,18242,5657,14579,12776
114,19791,492,16986,12064,16616,9837,6266,15801,12309,6157,11083,15301,8745,13838,1285,1489,10053,18952
115,16456,5424,4713,4592,122,10043,14798,19469,1935,5411,16834,2531,6622,2582,16830,17971,9805,14397
116,18335,7860,19490,9878,7188,15056,2837,10902,12430,6054,105,12629,16684,2450,5565,491,11265,1149
117,7040,2353,15798,16544,2351,651,7867,4930,18116,5142,8592,8167,3737,19370,14469,9524,5854,865
118,7631,1054,12876,12989,2581,11115,5940,19913,13098,5074,4554,12416,5299,4773,6391,15844,4405,10754
119,2098,4652,2237,16468,18957,12285,16545,16140,158,106,19954,8992,12885,4546,4902,640,2790,11332
120,10235,11857,15060,14519,11101,12162,16066,18661,4475,1679,6359,8403,7353,18612,19019,6871,19702,19741
121,1626,11842,2013,7064,559,1550,16741,16109,10558,6167,16029,11788,5223,10561,15218,11005,5674,4866
122,11091,16913,540,19271,10230,9376,6410,4908,1821,8199,4638,15497,3047,4434,10382,1102,12280,16537
123,17272,17162,2208,9932,6939,6138,12505,17781,7526,6875,10040,1855,15439,4555,3059,14847,6991,6455
124,3815,18604,18601,14435,12652,15991,13955,14542,12358,17348,10874,15728,5001,10450,499,3975,12862,16919
125,15484,18689,8157,6624,3153,12795,1573,17706,7443,17781,8037,4180,16654,10621,7183,9751,2641,17077
126,16065,18847,14855,14003,18102,9471,635,18340,18481,3367,13867,11539,15069,19975,1367,17616,8791,1520
127,10967,5640,10239,7852,2442,2116,17720,14474,11073,18812,8911,14898,16000,7241,19796,17740,5350,5445
128,4079,15530,1984,5611,1839,18493,10303,18408,5569,18033,2427,9371,3653,5747,8851,10115,16678,13005
129,7548,14961,8051,19807,16598,10922,11536,7871,10137,6209,9296,11719,6407,11078,16183,14632,1272,12907
130,13469,9984,1295,19567,656,9012,8841,10220,14164,19877,8251,14873,17258,3559,693,4529,15730,12503
131,14271,6866,11889,10306,7648,15672,6804,12557,2307,9553,6214,4768,5706,2109,14033,4324,12298,13209
132,1723,19779,16121,6657,19756,2210,3294,10852,10464,4364,18102,13602,7739,19645,9210,585,6727,12078
133,3932,1124,13209,16219,5538,2727,1530,2774,10081,18067,19105,18525,3196,3092,14859,11854,7892,19840
134,19384,8085,12111,7321,10972,392,16183,14700,15354,15705,11617,3897,5990,16159,17465,9997,15150,247
135,17233,10091,15646,8530,19482,8252,10174,2890,11500,3138,14489,7930,16249,13267,8502,9187,7627,4904
136,15835,17885,5381,6350,8227,16499,18528,16864,945,1998,1203,7740,7076,10720,18372,13271,5009,3870
137,9886,11074,3620,7594,11602,1448,3275,3995,5495,13365,6225,2965,2829,17609,8864,19335,10703,10141
138,15962,3786,11008,15229,9021,1151,14688,18747,10300,18327,935,10859,14879,2270,15571,11974,14261,17008
139,11475,1584,15312,18415,10006,14498,8016,3664,9894,14702,15462,12360,12732,14972,3454,13506,11385,8909
140,12529,17545,8294,9498,7102,10778,18689,8218,18303,14695,15709,4749,4830,14212,17373,10131,15894,8469
141,18324,14027,8540,472,17539,9553,10798,18150,8660,15532,17453,18443,17541,16349,16289,16679,7613,17670
142,1627,6957,4756,4866,18115,9347,403,9974,19453,8605,8866,9165,13875,1728,18655,4341,2933,6870
143,305,11444,10434,8526,15330,16603,11990,6338,668,11261,3805,6950,16195,15945,9535,10878,15717,14395
144,18900,12765,10759,12679,8032,11957,10863,19949,3177,12129,5669,4201,3301,576,4800,2934,9145,14695
145,6593,9609,1940,5719,8525,3891,17863,7523,16314,8465,7855,2852,1362,6659,16846,9615,6052,3825
146,13868,13943,2683,14757,17049,13488,1749,1498,16120,4159,7844,18431,9826,1083,8786,9685,9670,10148
147,14301,742,14398,16439,10618,6938,14309,6987,15304,6560,11396,19743,17950,7959,9257,5835,3742,6624
148,1425,2792,17316,6364,6344,17377,1624,15829,5378,18716,18751,9498,19872,14111,11198,3118,11137,17032
149,16124,2212,15612,7018,18956,7545,6414,106,12808,10235,19690,13755,3571,6177,10979,3534,2933,16753
150,8299,13424,5793,15953,9766,1856,5587,1480,11177,9609,6340,16390,14612,7001,12256,2955,7492,1963
151,19305,19599,13602,5166,8279,7677,18083,1319,10602,8460,3092,7368,9598,11466,5406,1509,4224,307
152,3532,9907,17785,18708,9756,15810,16989,2103,10756,16832,10272,7510,7682,1382,5142,11891,4768,14306
153,6126,16124,14754,7947,19848,16790,13618,4537,10680,19533,3285,19073,15533,5190,17472,14671,6456,1453
154,2131,14526,4659,12867,10652,18707,2758,6626,1359,18764,417,5949,1297,5391,11311,5139,5807,16004
155,6569,13809,3933,6731,11459,18050,15860,18288,1854,9076,17725,18860,6156,2035,9179,18102,10392,17761
156,19586,13602,958,10508,19152,5648,15046,18190,9138,14115,9751,11583,14193,836,9387,5431,13915,18633
157,15158,15949,17656,1480,9156,17087,6910,4942,16091,19261,6541,10580,3579,8660,16645,9153,10325,17616
158,4302,13983,19817,7856,7019,12686,10273,3615,12589,12265,10321,7386,6219,17678,16396,4873,6783,4139
159,9592,17562,12617,1064,1747,12325,18824,3317,8056,15481,2435,13000,14054,9208,3450,18059,13478,18345
160,6924,15678,919,15524,4826,12704,1757,729,15457,3174,8925,5873,14282,13747,881,3047,17848,881
161,9283,18159,17270,14177,11589,14345,4022,15935,15159,19442,13291,2178,19018,12756,431,15239,3634,16906
162,17347,13623,1412,10416,9990,19067,2280,12897,19723,9202,644,2962,15526,18094,10032,13633,18567,10924
163,16551,7459,6721,394,691,5459,13255,1680,6418,7528,5854,10136,18822,10333,15907,9350,15331,19421
164,3043,1298,350,13610,12483,7336,3207,4099,8132,1406,18041,15393,3778,14533,16412,13526,2424,18081
165,16108,208,8773,544,833,3955,7281,4838,15140,16236,12446,8185,2456,10146,16544,2505,13609,3346
166,7872,3693,216,14262,5002,18687,5725,10415,15236,9363,18572,13091,2161,8301,11147,6310,13643,11239
167,1001,13618,16173,17800,17149,597,7885,4145,19415,11777,15313,9748,329,14024,3999,11587,13446,3335
168,18143,7532,9414,14947,13126,17258,4780,3046,18066,12427,18864,9239,15798,11360,14691,13482,8891,9595
169,2540,300,4532,3626,13762,6244,1015,12430,1862,14398,16284,3234,16406,869,9104,17543,16244,15942
170,2121,15161,11561,1505,13238,15184,19770,3363,5026,18685,16577,17939,17224,11611,3762,2471,18485,2523
171,17688,223,17484,8380,7009,18783,7603,18523,17220,5925,1432,13242,12333,5044,9800,15267,19921,4093
172,4416,15225,7870,18083,13646,8043,6268,6355,17072,9830,7235,18788,1229,10409,769,13380,15234,1602
173,19993,9761,15921,3332,17210,953,11318,7245,1087,2662,12462,10750,19707,10725,18715,7801,2154,2418
174,6310,6783,8872,13469,7769,17876,14444,10372,1540,14970,8286,13331,16399,7686,15125,2197,19850,13170
175,9407,4411,6124,17994,12765,8345,4175,6787,2020,8706,4971,14583,11804,1010,9723,13822,4552,8266
176,9420,17404,18638,3957,9501,13739,4609,13559,6048,19016,1720,15518,1699,18049,1492,4396,11724,17794
177,16059,874,6578,6522,15464,8613,4875,17667,16935,5137,2714,19459,11559,8329,10734,19152,15136,12142
178,2766,1066,3453,3807,14279,14174,11052,6007,5705,13376,11936,477,3861,14026,14382,10174,5458,13746
179,15505,13384,18318,12979,4853,16614,17252,16978,8187,13568,11949,9334,18218,5145,377,12300,5457,13069
180,14564,17664,2118,17230,13067,17412,7631,18743,17568,10015,9938,8346,10166,3693,2622,12316,5879,12622
181,3342,4085,14029,8329,16093,19639,17597,17065,1971,16189,2218,7388,8054,13592,2232,10253,2401,10617
182,13044,7133,11738,8397,16581,6123,1284,19833,14940,8263,15497,15340,3640,349,459,7884,2769,19104
183,15390,9009,1722,6443,4438,4772,10588,17957,2121,14899,716,2588,7471,10715,954,7703,4600,9720
184,14966,13021,18366,18674,17194,14525,15563,1133,13440,16857,15216,12836,1053,13806,8276,283,16503,5134
185,12508,12513,16740,1753,7736,16493,12102,15791,1979,16208,4867,18233,17525,8512,16823,10196,13448,4388
186,10881,5091,14789,1036,8509,1391,15037,1500,11758,603,7103,12218,6952,4857,5627,320,5447,19036
187,1636,6629,14155,6321,4821,13686,9025,12835,15574,1647,17582,5792,8642,502,4405,6107,7088,10247
188,9008,12290,1031,11891,5636,15600,5662,18323,14580,2529,6883,15671,12015,9164,7602,12982,657,7816
189,8717,13443,16961,15672,4609,16541,4773,15854,19144,9736,7156,15430,11594,7238,3074,3009,6352,6037
190,1614,6716,1817,1165,996,19153,11223,4075,16880,17241,15731,5031,11407,6641,19805,7245,15431,7883
191,18877,11609,11797,19816,11061,15803,5359,10737,17123,13997,6183,259,2065,12363,11558,11302,1293,16233
192,17515,19779,8837,5135,6576,9227,8323,7369,14556,12820,5505,17753,17723,13804,14638,11309,2497,3802
193,11970,1928,4077,4492,14668,13810,3726,6654,478,5214,17376,12380,2959,16430,6292,18895,17512,14782
194,18555,17197,14890,13061,8832,7684,17559,11048,5467,5318,9658,12909,16870,19535,13975,9716,8177,17108
195,2753,6655,7236,12160,9796,1816,9766,18728,3552,10455,6832,12241,13860,13125,13887,7648,18866,8656
196,19808,555,19934,7774,7280,14378,3498,8752,1929,16158,11312,16478,1101,17253,16044,19340,5534,16409
197,7926,12169,12577,10300,15327,14635,10829,10546,4642,18404,19980,1373,7499,7257,10456,356,11919,13925
198,9324,15321,11196,5494,15202,634,9199,10886,10609,15162,14728,11000,19138,4189,13264,5624,11749,17315
199,9437,13696,12707,624,11998,14850,6437,9577,502,14968,5045,4705,11120,19342,18305,18002,888,17781
200,7537,19439,17375,7951,4585,6842,202,4231,5845,5652,18667,3138,13479,19668,8106,13454,3398,6571
201,2412,1107,13062,244,16747,19961,8121,17847,15433,8255,5059,14798,18497,4978,8173,16449,13613,5644
202,17475,14334,10900,17818,19957,13488,12731,19935,9546,1686,4749,4267,12235,4436,6203,18949,10901,19181
203,6441,5071,3288,9742,16396,1233,6054,16322,19094,10304,758,18403,680,12453,17813,9378,11793,4991
204,18874,17007,3188,15374,17697,11718,18480,10677,7992,16358,12093,19302,3893,10032,5828,5352,3212,15951
205,11713,10211,4378,10005,18523,14582,7374,15553,12077,4540,1942,12918,11293,12789,17899,17633,11736,13779
206,15794,10277,12531,16577,1428,13944,6842,5034,8654,11292,8930,8155,16821,14975,13692,18856,5400,4272
207,7179,12275,4166,611,19201,6083,13118,11788,10463,13069,14592,7621,6996,8746,3999,17356,8243,355
208,13505,18699,12966,15909,19220,7204,17690,18664,342,1452,15952,10871,19385,18214,13233,15653,16400,17265
209,471,7144,5734,19208,5175,1326,5401,4345,2748,15186,1608,6204,6732,8027,2226,7575,15925,8456
210,18818,7813,4780,8656,6611,726,11607,5875,10527,11691,17197,3389,3398,7082,14562,7696,13102,12653
211,6127,7237,7668,9212,4202,1486,8438,3719,6896,19668,18092,4150,2710,6787,18577,7323,13038,2671
212,12003,14248,3135,13514,7954,6417,13647,1024,19197,8156,11544,726,18469,9090,2923,15609,10281,10109
213,14064,6232,16285,11783,3613,5327,8335,10942,2940,1271,16089,20000,5290,6457,18915,13051,12004,10411
214,10211,18252,14168,16485,13238,18390,16376,10986,9802,8518,12086,18299,17662,12855,12306,8292,610,14097
215,9592,15044,10645,851,18396,13383,17546,16779,849,5054,3719,3198,9627,11394,10563,14306,3393,19192
216,467,15529,10486,8514,6148,16860,12162,16507,2728,13509,1594,948,17838,5506,5463,9055,7218,7550
217,11574,1126,14691,18041,15684,19317,6874,4373,6481,15962,13415,12672,15565,6901,11339,1332,14182,3962
218,6928,18847,13147,4479,10391,16789,6422,2993,17638,8736,18192,9155,3510,12567,8887,13096,18474,4237
219,8848,4612,9161,10638,4192,16190,17883,19548,6455,3300,5912,12715,5822,11317,15107,18609,2788,9468
220,17767,7090,18815,4641,9416,9683,288,8924,18648,10622,2203,18736,8366,10592,19180,15136,18145,7957
221,2093,17667,4830,3694,9105,8682,10866,11270,4470,19569,14244,5425,14500,11199,10147,2233,9410,10261
222,16252,18192,17566,15880,11065,2693,17503,7504,5781,16092,15034,4064,1264,2581,15462,17748,11457,4798
223,14391,6992,16071,899,6253,16113,11100,816,18485,18728,16428,13315,14745,14194,1918,13723,5059,18655
224,11843,10969,6021,13933,5441,11893,16190,2061,6439,14823,11974,198,7132,10696,18420,18785,4461,10098
225,2144,9634,9534,19042,8391,13511,11566,5879,2659,2789,11346,12294,10487,11381,18067,8354,12519,16381
226,11022,12999,795,14444,6367,1162,6484,4580,14613,18104,5458,18134,14911,9482,12427,13766,16563,9935
227,10490,16297,13871,3009,6406,3712,6145,4871,939,13495,17837,7133,5389,14550,2172,11345,10813,1928
228,6544,16485,18611,8517,16173,850,13864,6632,14036,626,18838,11715,3086,17128,18651,8686,7989,5451
229,5942,4158,5255,15698,8680,18828,7049,9566,15401,11361,2419,9821,14104,17183,13020,13954,4246,11103
230,17981,14568,18511,4892,12004,8062,13156,18642,8353,559,7159,7912,5678,18370,5181,11713,6687,10114
231,7169,5073,7179,14498,1659,8615,14269,8997,12983,18790,4160,12307,18422,14953,13626,19193,16400,13446
232,17397,12147,3755,11082,17713,17475,5840,15878,582,2621,17768,7817,5601,18728,6701,4986,7274,18027
233,15220,15588,18613,12387,11809,12426,3475,14394,14799,1072,5136,10424,19272,15398,7306,15076,2967,2908
234,4146,3045,17628,15439,381,7477,4506,5742,13786,16424,19704,15325,19908,9820,2953,8139,7644,7142
235,10640,11047,366,9755,15320,18811,4941,6067,4880,18885,15889,18183,8492,17308,14118,7963,17241,9680
236,2801,13527,16069,1412,10859,13458,19345,19624,13830,2953,5924,17338,16017,19730,11675,5236,18476,4110
237,14686,10331,18046,5326,2105,1344,14154,12424,552,16007,14770,15481,3516,3801,2726,4140,10386,12587
238,12375,12302,17117,3427,15334,18257,1104,8432,18053,13310,18279,11303,17647,13111,2756,1001,10768,18897
239,13953,6957,7229,12716,17725,15767,10662,7680,12115,7513,4314,10700,9944,19273,14103,1087,15836,4130
240,3048,467,11469,19143,18026,5831,18028,12491,18889,11917,3318,3569,18904,3316,16565,877,14112,3873
241,3647,17751,12115,902,19213,12810,17470,3674,1485,9625,9287,14115,9017,7397,19080,18009,6220,6805
242,17980,9552,4670,14305,15033,5853,2786,5895,18778,3910,18382,16505,7120,14748,10422,1344,1426,7043
243,12802,14002,16304,10527,7619,19426,8382,4149,3947,5666,891,18232,12068,1365,1508,12380,5056,19444
244,861,17272,6976,15404,9344,13742,16389,6026,19072,19984,13235,7599,11220,6420,3085,5660,4191,13085
245,9915,3908,11205,9807,14770,6408,18638,17504,1985,5876,13795,8369,19026,7350,19510,6215,13992,3338
246,15770,14848,15543,1434,2471,8797,6994,6265,1161,7508,8746,12889,3766,19809,16180,14871,4456,3730
247,6237,7428,2221,11324,15329,4599,3993,7982,7569,1996,14044,353,4637,2189,5504,16230,16290,10056
248,3065,18831,15943,5007,5647,8447,14343,12059,7837,10153,2836,5426,3196,5721,5807,19075,18597,12135
249,388,2752,2381,18368,9485,18112,6031,17568,7721,5776,4864,6700,1481,14021,5572,17513,14925,14870
