"position","sim_001","sim_002","sim_003","sim_004","sim_005","sim_006","sim_007","sim_008","sim_009","sim_010","sim_011"
94,14466,9348,19274,232,2992,1882,7964,8477,8559,16616,18221
95,871,11574,16931,1847,19761,12151,19696,13822,13424,19185,19626
96,8323,12816,4568,1516,10577,17677,16863,15305,11760,14825,9370
97,3291,10318,17358,8532,17052,1661,12452,1016,13361,16375,476
98,16618,4923,5603,14830,14213,14589,18412,6361,11774,7048,10054
99,9756,11677,19970,2897,3988,18031,10128,4188,4083,12890,17653
100,4619,17636,8451,5717,16371,19643,9986,3138,5088,704,12634
101,11381,19929,18364,8593,13682,4009,3135,1337,4500,497,3268
102,5856,5845,17644,18151,10047,19956,18252,13616,12965,2089,10527
103,5789,16064,16551,18386,17531,14644,1687,8227,4886,17258,8357
104,7515,5457,13312,7530,8063,14254,13677,5128,13164,10224,7630
105,4004,11558,6117,10960,12629,1463,18223,10543,12531,16678,116
106,7477,401,16917,2420,12614,9376,19659,18187,6806,5470,4241
107,14863,1700,4524,12736,4730,18787,11668,17491,2251,15996,5023
108,13168,11465,19972,14201,6552,14706,12117,6896,4842,19694,6378
109,19206,7947,17881,16056,5559,11190,17979,7522,3666,2526,14557
110,3482,1217,17091,19438,677,15605,12837,18400,11816,10042,13332
111,5241,6274,2297,3928,3827,12916,9082,19882,18590,15352,10484
112,243,15582,9300,10791,8593,10104,8265,192,17397,13790,1239
113,4280,3814,7596,10615,224,2420,14356,19409,2223,18297,1859
114,1453,4415,7627,7530,17073,17945,16164,4034,14707,3245,5875
115,1898,9252,3458,14744,1281,13479,4800,17249,14677,10586,5378
116,14196,18302,7265,2769,5326,4959,12036,3895,15018,4414,15481
117,4587,8241,2880,6845,17210,3669,19352,7725,13499,10443,10921
118,320,17340,18034,4427,3497,15404,1248,5796,13466,10783,8452
119,2582,19884,15473,516,7211,8980,13048,3519,18775,10394,2687
120,12156,15969,171,1462,8887,384,5127,1693,10809,12414,7071
121,11108,694,8615,15167,9257,13845,2056,1254,10655,17092,1450
122,13537,19024,3151,8799,1299,8278,17703,11065,6516,2313,4639
123,10300,5473,6070,8000,5053,7281,15932,2081,3364,13806,4329
124,5856,13572,2177,12381,4360,19069,16924,6063,407,11606,18771
125,12067,15231,13780,10231,16639,4714,18198,8258,2043,15368,3623
126,9336,5518,4923,19425,4652,13898,13722,8420,4741,16520,19199
127,2645,2742,17902,10957,10564,10001,14224,310,6371,16518,7143
128,4684,4259,1249,12555,8218,19665,18935,5864,18918,4116,13743
129,356,12278,5124,11909,17780,7251,7339,15713,4272,17880,8822
130,9035,13409,3583,13126,4704,12766,3595,16014,15517,9438,3339
131,10454,4782,12013,11034,11071,18892,2353,18627,16449,1754,2702
132,14360,14557,393,13594,2448,9719,6746,807,12920,10585,17633
133,8827,13641,16581,5523,18095,10553,6849,6705,2047,5806,4856
134,13958,6012,6418,17096,15039,1067,5556,3933,19756,4211,12689
135,18917,18729,197,783,10584,15893,4563,19581,17478,6437,229
136,4107,12042,9886,2723,4749,16157,991,19295,19611,16978,778
137,3515,2800,2269,9703,12674,1607,175,11391,10868,11240,13428
138,18743,12261,15726,14031,4675,9728,14122,13919,12412,15751,3749
139,2118,1720,517,14797,3085,18325,13645,5240,12067,162,5343
140,2377,752,11406,9157,2046,11428,7963,4635,7878,3279,18516
141,2243,13302,18608,13555,3024,14745,652,7330,8765,7420,15495
142,962,8506,1355,18057,12481,19527,14687,15587,12551,5163,12436
143,8068,5389,4481,6048,17024,15534,8371,813,2276,18809,1703
144,1862,13337,18701,10915,17681,19695,18600,15120,16548,6124,8726
145,17421,294,1257,8794,18302,16908,8836,17835,18686,5545,1513
146,7962,12950,18424,2049,13215,17597,13047,19772,8124,11333,8131
147,8291,3639,7058,3986,2741,16557,11442,2579,8154,11872,17664
148,7486,159,16814,7950,557,2277,4853,7682,3593,12590,12834
149,5861,17102,5683,9414,8134,8700,16657,335,1426,11569,4036
150,14165,1526,1014,19015,1578,19741,16850,8292,17972,6168,13502
151,13972,17824,3995,11999,3603,15401,1005,18752,182,9938,18188
152,2001,5339,13898,12885,1069,5875,14167,1752,1398,1041,166
153,388,8649,18517,15723,11410,3166,2687,12147,7311,7275,16771
154,12281,1700,4425,1645,2281,16686,7811,18007,2323,11768,4570
155,974,2518,649,17297,2880,5037,726,19304,11714,18671,1963
156,1564,14360,17845,17914,677,19885,3367,11020,6203,17938,13344
157,11618,7724,19125,3571,111,13493,15105,19162,6343,7996,8056
158,18164,14455,12041,2589,17225,4541,999,15807,11269,1896,4972
159,1099,15764,15421,5948,18406,12687,17503,4638,9963,5405,9130
160,19237,665,18828,6382,4253,16731,9291,11002,9975,4450,16888
161,10829,16342,18983,15024,11064,4239,2046,18555,8242,5749,5280
162,8517,3443,14160,12938,3951,17181,10156,16623,9733,909,19643
163,18210,1476,10258,4124,14478,727,7562,4843,4488,16831,6727
164,15434,9417,10767,15436,8458,11500,3981,4134,13013,7149,202
165,18226,13720,12310,4066,15061,14645,13069,9528,16017,8440,15617
166,16037,5407,11802,13067,8388,8523,16991,19385,11030,2739,180
167,5266,19446,1565,13696,18183,17857,15070,7843,16138,6214,15660
168,2861,7669,13517,4689,10017,7252,18059,3435,8598,14889,10532
169,16905,7023,552,5408,17431,13257,10850,12831,5844,4899,3317
170,6195,1989,16762,15760,15667,8775,9223,7983,12551,18496,3727
171,14514,17248,18807,817,12076,5781,14896,5220,12038,15913,1233
172,765,5772,15342,11056,3591,16797,15374,13842,12357,2702,4971
173,1812,2302,12825,16772,4276,12853,8650,13554,3101,18258,4717
174,9621,10345,17270,15579,8518,1209,5678,3213,10501,10040,6325
175,3833,6622,5775,14993,12655,13410,10446,6163,16552,8829,7307
176,7742,1035,6845,9862,17675,1206,7161,17278,6376,11842,19821
177,7233,6887,445,10119,3863,18460,5489,17405,13882,11198,18905
178,7937,8693,18592,8793,557,15197,13664,6935,9978,9211,19255
179,16465,19020,14814,3230,7229,9163,14461,6875,4870,8862,14367
180,16327,10467,2849,15841,13014,9922,17116,15297,6076,9620,7963
181,8644,11489,12102,475,6032,3567,18713,4286,6119,8035,16300
182,3201,9876,14091,5801,4983,5463,11488,14260,10368,3132,18671
183,8756,17619,4023,16647,5080,2557,9741,8212,5076,7672,11792
184,5165,9995,12146,11397,4258,11489,341,8223,9203,4539,16578
185,10125,13371,1658,14357,5814,12114,292,18806,15161,13778,15943
186,19338,10631,12808,12157,660,18187,6301,13760,18806,2704,2277
187,10331,5834,1303,7847,18381,4633,11308,12861,15479,14187,9228
188,6242,12658,6777,15730,1557,11417,5449,18219,8677,18890,5240
189,17756,8877,112,8950,5535,13176,16786,1877,5332,17465,6091
190,19745,9620,7647,1006,12561,12189,19253,14681,4762,16529,5924
191,14598,107,1357,12272,1296,17681,20000,14602,376,3442,8006
192,12702,16523,14145,14614,4377,15265,13838,6581,18123,5898,16045
193,1944,8617,915,16195,15559,2601,6105,1592,4329,14503,1236
194,19882,2961,19316,9362,10224,2324,2604,12551,16629,10604,14372
195,10962,7956,3762,1418,1084,10586,9326,15904,9765,807,19087
196,11174,5418,3038,12809,8986,15411,3183,5190,10184,17205,3540
197,9984,12374,8488,17315,13203,2062,7944,5990,3542,14075,8274
198,3166,2731,4036,16474,6908,6773,7236,774,8396,8149,3992
199,18903,16308,4557,15206,18882,6179,4870,3184,13253,4021,19890
200,19752,4172,5968,12509,14138,4469,11651,10703,16553,13685,3174
201,8802,10564,15127,2531,13117,13790,17404,16414,7693,14890,397
202,3626,3537,4486,14281,4886,4146,15668,13563,19235,12917,9972
203,649,17605,4204,7559,19431,5848,14560,2734,2150,3134,5075
204,14738,4564,18350,14161,17345,13245,15733,8971,195,16201,17690
205,19428,3920,1232,18350,11658,7621,3187,19298,8586,11377,11724
206,12618,17434,14394,18538,11052,9433,11674,14414,15757,17207,10028
207,8411,19955,7206,12195,19238,15411,17708,7177,7128,14953,12593
208,12100,16991,17065,11262,11904,13829,17276,9809,13600,2558,3100
209,17911,15653,8495,3706,13428,12326,17013,12209,1389,18945,2885
210,3395,7726,7529,1998,797,8050,256,18770,12591,16393,891
211,11806,15734,13090,4812,153,17794,5145,12272,2883,16880,16889
212,10895,5585,3828,17420,2328,15577,15911,7727,14088,18155,10524
213,1940,6829,1214,10446,8685,17109,694,16905,6385,15441,3870
214,5061,7984,15316,19941,6395,2777,10893,2569,3311,1048,10388
215,6813,3850,2690,912,19886,10941,8245,15270,3688,6419,7843
216,17125,1924,13591,19077,18261,4974,19425,4636,9907,6908,18914
217,13356,8479,8688,10574,16799,19729,5116,18044,8599,18670,2743
218,17874,3402,16724,14907,6164,7068,4856,6876,16566,2884,17795
219,14907,3571,906,17163,12096,3995,5487,11674,10232,3214,1009
220,484,1138,393,7020,10688,19249,16546,17298,16913,17608,7973
221,18734,2766,5310,9627,12490,5114,1811,6542,9654,6566,3899
222,11534,17448,11673,16113,7503,19634,11985,16839,15264,17326,2027
223,5564,7187,7661,7355,562,11892,12171,16599,13650,12704,2565
224,8334,9842,10574,14391,7800,15029,962,14497,19974,1909,6106
225,4672,6939,5581,15780,5293,9422,18637,15535,9447,3497,7213
226,5786,14577,19673,13091,4437,9844,18553,15254,11343,9864,13610
227,9335,3939,14797,18299,14049,18030,15553,19155,15507,3245,4316
228,1157,19788,17075,1986,17088,18763,16685,12182,10604,5745,8478
229,19159,203,1550,14600,11003,8724,5868,6546,18679,2917,12643
230,7683,614,12830,246,6165,5049,212,16389,13679,2453,1992
231,1047,6808,3681,1823,4449,14732,3925,5317,19924,1978,8786
232,12807,3815,14975,5091,6810,16731,3167,17626,3115,15928,17711
233,13502,7550,11430,6872,13199,5606,15082,11359,18100,3963,1931
234,16211,11833,6990,13202,12159,652,14324,6428,12389,9778,13628
235,14162,5208,7686,16476,6971,6168,12385,14729,3505,16065,19499
236,11043,10142,3574,9766,10996,8137,17537,13519,16516,5225,13594
237,11398,10092,5892,4899,11587,14032,3100,9667,19934,14007,5664
238,6981,11706,6751,14687,7081,3631,9953,10854,14576,10664,2427
239,4104,15474,14321,10201,14733,9937,10015,12258,19925,18201,10809
240,7907,8157,10115,16563,5893,12557,4652,16532,1237,1433,19520
241,9400,11975,5294,13341,13578,16828,4282,11061,519,2294,10259
242,18343,17895,18636,9867,8566,10487,16055,254,10419,1945,15650
243,17802,807,12787,3099,7138,5060,13857,6474,8845,9639,10497
244,8589,2708,3161,9660,7664,11217,9421,9339,14155,19477,4371
245,2635,8393,3092,7374,2162,12300,8431,15433,3038,9316,4998
246,13653,18526,4413,9034,11186,18165,14042,14140,12115,118,2460
247,1825,14876,1752,17274,17864,9224,13300,14196,15908,10752,14222
248,18688,1528,12210,2790,15452,19928,11545,18676,6988,16705,3917
249,1693,10893,7124,6308,1032,7182,16206,735,18003,7498,4825
250,9971,16422,10877,17358,4264,15466,8703,6337,2744,12062,6622
251,2211,5589,12935,17091,13756,15767,8267,18758,10361,6982,10797
252,15021,19637,497,14463,1317,15079,5969,15075,7306,253,5324
253,10859,9342,13925,6069,16058,12465,13878,1490,15944,7515,18170
254,15335,1845,3160,3834,18542,1964,4116,9043,3202,16591,3026
255,5371,10180,5287,5448,10867,16365,1359,14138,11469,17948,6774
256,18596,9896,18164,16047,14212,1928,8880,11178,3030,5982,3044
257,15115,16663,6568,1869,9991,16756,847,9763,13587,13147,15969
258,7914,2054,6499,4841,3151,16846,166,11962,2261,2815,14176
259,17113,16551,16878,2578,4716,12051,18350,7723,15660,324,4507
260,15553,17905,19897,3414,2285,19097,11598,16146,17199,9985,19377
261,6820,6017,13444,7668,6463,9018,19642,16564,8532,16323,4058
262,19619,10645,13613,10236,8781,4331,11524,7211,16007,7258,303
263,19006,5919,14246,9337,2794,4991,12379,11765,9543,16281,13710
264,2278,4813,17119,1448,6290,10014,767,4708,9578,12428,7348
265,3671,8310,4385,12696,13190,15927,5076,12513,14874,5701,17543
266,13687,7067,1315,1373,17371,17960,16658,2486,7380,12718,10585
267,17520,11617,18150,14916,15937,4371,17287,13161,14541,16767,16788
268,18262,12091,14015,12063,8953,6356,14392,7416,17999,19691,16151
269,15566,5785,7562,8358,8233,8905,1090,19117,9319,16878,17216
270,3932,10236,11455,4456,3255,4955,7263,16325,11351,7699,9062
271,13937,11079,16090,2182,16824,9648,6133,1460,6857,10887,18980
272,6469,1689,4151,6614,15678,299,2612,4378,6421,12533,3405
273,4770,14752,8614,1626,18347,18419,8864,6101,15724,2030,14112
274,3226,3559,7903,7113,10419,12402,1344,9538,19308,10489,16743
275,10130,1783,1023,2899,3632,10379,14270,10616,5502,3477,16247
276,6245,14145,1544,15081,17303,4863,2582,7058,16721,1072,960
277,8480,15873,2333,11342,14824,15227,4726,4643,7976,5392,1908
278,8309,5720,5665,12237,3570,2135,6260,18914,19958,15785,17835
279,13712,6771,13502,1105,18815,3677,11715,10464,15625,8334,10033
280,4058,10578,10023,16588,13028,13788,9481,2470,7670,631,8413
281,2103,5222,938,1263,9976,14929,10721,10603,12023,19463,1482
282,13349,9135,13962,19115,2587,2835,6603,2225,2653,2232,9864
283,1072,17872,3825,9576,11398,19539,3769,5236,10652,17235,8571
284,15361,4263,13727,8154,145,10630,3547,2211,5568,10392,10073
285,14008,10916,14798,17118,13086,6145,10349,12757,5176,4779,8238
286,18756,3970,14366,16222,19919,10627,7433,6083,15268,7503,17122
287,9926,10877,1723,17314,140,3074,18342,3874,16298,13537,18485
288,7551,9456,16158,8161,14923,7132,13781,12263,19043,14682,15308
289,8841,4947,7634,7273,16295,16504,4955,7799,16979,8465,7557
290,6712,3534,5628,10055,16766,5833,7648,14959,6792,2264,16931
291,5599,1212,14723,3148,7892,19893,13214,8947,1081,16240,11715
292,6294,16319,10724,7330,10833,14874,9590,7133,14900,3007,6229
293,1091,11136,16882,16385,3060,1579,6263,14884,9698,12487,14028
294,1112,7164,12611,1673,17712,2767,12706,13959,1003,13619,6948
295,5299,17088,7205,835,13674,18772,6335,19853,19898,965,415
296,6413,2372,1113,12784,19952,15003,9678,14262,16029,6873,10806
297,14387,3621,19246,734,450,1518,16788,17993,8070,16171,12354
298,10251,19802,12949,14363,936,14126,7195,8337,6510,743,6399
299,17889,8445,11898,16371,15006,10227,5533,5358,9161,13789,7369
300,14024,10896,9812,9185,836,18585,10737,15804,185,16647,19028
301,15191,15753,9946,19916,9146,12881,2676,17599,19833,1578,6724
302,18249,3365,18372,18782,13682,11912,6627,9020,6048,12843,3401
303,12006,4684,4810,12533,6109,6198,2227,8209,15253,13882,6249
304,206,16672,3467,11021,8667,5686,10752,16078,15014,13383,3971
305,16757,9479,6534,17056,15608,13732,15839,14253,4210,3480,12406
306,2351,15315,10092,15476,6624,3800,8240,963,7055,18045,7193
307,18663,18717,6836,2114,917,2512,5876,2341,15804,7600,19302
308,13950,5206,14520,2172,326,14013,17064,12028,5255,10432,14376
309,19527,12582,4920,2587,9022,8952,13314,11265,18767,11073,13676
310,12314,1983,7452,9482,9438,10999,8724,18027,2813,12924,8508
311,738,2949,10276,16338,12602,19727,11222,6472,9330,10684,15493
312,10745,1005,10204,9608,7157,17285,15683,16278,17681,1661,15822
313,491,17402,17395,15905,9591,19245,18769,5111,17453,14842,19483
314,19900,1223,7662,4341,2902,5080,6801,11827,10899,4197,18203
315,13500,19825,6674,15858,8644,18659,1427,17620,4344,16249,442
316,2674,5247,18036,4685,12281,17766,16853,7921,1853,674,18840
317,5478,18652,15752,3501,14548,3812,11546,9983,3401,7445,1467
318,9529,5862,10698,2822,15903,5879,16770,18117,7043,5019,10109
319,168,8521,18078,10960,15812,2765,5020,5406,2903,15047,18479
320,883,18042,16622,663,13723,11620,9369,10869,10841,15471,6228
321,17834,19181,15362,19138,8133,16349,14910,9263,5403,145,19594
322,15058,19476,19086,15729,13399,17744,5661,17757,4875,3941,13608
323,11324,11058,16590,3567,4726,6844,2318,16936,7346,17279,9178
324,5299,8471,16266,8932,19469,14504,14067,12041,13911,8394,17754
325,19120,5016,12749,16494,6667,668,17604,11159,19927,7433,14120
326,275,19847,16952,19516,5664,16677,12344,6024,11191,4090,18448
327,2329,13884,19258,6150,12616,17744,15803,101,620,3077,10477
328,16675,13866,7086,7167,7266,18065,3814,6133,6899,14996,9663
329,3865,10573,17977,16126,14219,13950,15025,18214,15044,8791,17030
330,3918,7071,8129,2592,14724,6501,3379,4568,5361,7427,8011
331,11029,13662,7351,3941,19364,19660,9000,14404,4631,2129,2620
332,14902,17076,7163,3948,3703,18991,10913,14657,1187,18506,9635
333,17115,17460,6126,11585,19124,18903,11465,18255,8491,18566,18889
334,10347,16489,13703,16806,18263,1386,17277,17030,15483,5979,3239
335,2283,15050,3793,9448,11136,5941,19268,4462,18990,9118,7859
336,2923,13999,7858,18391,13075,16530,17658,4888,15096,15899,6968
337,15678,9573,16291,1865,13949,18610,18160,1466,9268,5422,2548
338,7446,356,17058,8769,12621,3223,18483,9739,13603,13267,10120
339,12894,654,920,2857,12011,16389,15356,18329,5541,7096,15891
340,10961,14215,10635,10072,17154,11318,15880,6086,13362,17760,5374
341,6942,3363,18025,3471,9914,18411,3579,2684,7072,16728,2072
342,2614,14656,10494,5481,4677,16490,1397,19101,9018,16670,6919
343,8724,2114,7497,3368,4867,17777,16331,594,16239,271,14566
344,5324,573,11765,15289,10401,1185,19934,1132,1351,8093,421
345,14767,13805,17862,10780,18444,17098,17678,7060,12620,13189,11071
346,1650,16381,11899,19549,460,1380,13418,17162,19208,1550,2082
347,11095,6277,17545,389,16498,7884,4449,15108,8171,13068,6791
348,12516,2661,9778,7178,14508,3202,610,14498,11225,18142,16676
349,2646,7143,2680,9091,8278,8235,15340,4850,16545,13756,4073
350,17265,1636,7027,9246,19816,14093,14860,2060,16717,7676,16756
351,13702,7578,16919,2985,2462,18376,4597,4187,4957,12987,13621
352,1855,11300,6964,1992,16947,15930,8151,1953,17577,17385,17861
353,11415,15912,15177,19652,13108,13156,2796,4207,11262,11323,10444
354,9409,3243,13432,3284,18189,14125,424,12636,15261,11691,11347
355,14956,9979,6125,8442,14042,18519,3871,18897,13149,14029,7648
356,15978,3817,4030,11588,10207,10845,3278,3410,14828,17197,4853
357,14165,3953,13640,1008,9635,15824,2625,916,4892,4766,7778
358,4546,14110,17662,17605,12913,2571,11761,5709,9351,11004,10982
359,5028,12421,18328,5730,6692,15702,11037,16800,15051,10987,8631
360,7418,13446,17682,11878,17086,19014,12074,12807,17503,15869,1316
361,16717,3947,16615,12707,15413,7479,2426,8269,12204,13277,1691
362,19979,14651,1904,3764,16609,566,6416,10102,11267,18570,7498
363,14982,10669,7192,9444,6199,17162,9733,13273,14459,9954,11636
364,19825,12858,6095,4032,2700,2337,6260,10156,17199,16512,7330
365,9343,17848,11772,14677,10869,4981,13943,6047,3809,18091,12370
366,17498,14705,15418,9601,6672,275,10240,8646,17720,197,6011
367,5706,11362,15205,17348,14238,106,15070,2696,9355,13547,18512
368,3453,15599,5693,5275,3222,16592,11948,19398,4481,13333,10260
369,17852,18896,12698,16289,2404,8019,4562,3120,560,17544,9483
370,10789,13768,4601,7197,290,10378,15824,8720,624,115,15611
371,14108,756,12866,5616,18154,4204,3661,18068,2376,13077,12872
372,6201,19298,6444,1368,19481,10848,5560,2266,3387,12048,5762
373,17082,19866,10182,12382,10844,7343,1526,5576,5111,7303,17432
374,13376,19773,6663,1358,9926,19658,16841,12855,9580,16711,17719
375,14503,1233,15210,13722,12402,2969,1607,19386,14354,19304,2356
376,11262,6836,9376,5508,4547,14379,3693,16772,9056,17898,18918
377,19808,8599,4476,8046,1787,6414,9064,10069,19244,15398,16586
378,17327,4991,5115,9831,10775,10532,18509,11467,12958,18131,13928
379,14374,18193,4668,8792,10235,7164,5027,4075,3937,4117,16074
380,12055,7738,3323,8095,5026,1223,15057,9793,11944,2219,1993
381,19980,6499,19257,15581,11776,18726,3860,15499,2191,4114,9991
382,15166,5725,9629,282,15870,2355,674,16404,14577,14943,6685
383,15395,15990,9103,13989,13543,1750,9091,3006,3497,9562,1286
384,17835,2320,4401,18383,11623,7393,10061,1102,8109,9603,6416
385,5447,13133,13326,6040,4714,8957,7345,12788,4253,5355,15245
386,9964,2238,5917,4067,13526,18470,4450,4204,19813,5606,12286
387,13213,18442,4366,4838,9165,6922,17622,9944,535,9315,11891
388,11397,3911,13633,16462,10656,17819,15314,10186,11967,19505,16877
389,18161,13044,16698,12749,5775,402,3211,7309,17390,13185,5231
390,18590,8800,727,13461,18887,13946,6615,5040,6909,12505,10460
391,6693,9599,14253,2267,509,12191,10627,4919,11922,1789,12005
392,832,10608,3474,7297,6909,13166,2615,14526,13557,19193,16769
393,7672,14750,10636,16096,4258,5130,6439,1835,565,11582,18498
394,18699,11954,16940,16747,7143,19705,5914,15990,2786,4705,15360
395,9707,6929,7858,11043,538,18281,11283,7733,8228,13612,5892
396,7761,8611,838,9709,16103,12718,6749,19549,7823,11924,16546
397,2072,1008,8089,13896,7386,6362,5317,502,11691,1543,9125
398,4253,8869,12446,19035,17644,5189,6115,19618,5966,6907,13994
399,18864,13943,17369,10996,11351,10702,8807,6113,6742,18191,16700
400,11962,3760,8145,11046,9397,701,8751,14055,14642,17111,5244
401,12481,518,9126,14706,6643,8076,14753,11336,4967,7997,19403
402,10792,3168,18255,2012,16337,12640,2317,15430,17623,8620,9349
403,7446,19268,10345,8889,4403,3682,17138,1365,8705,7767,7291
