"position","sim_001","sim_002","sim_003","sim_004","sim_005","sim_006","sim_007","sim_008","sim_009","sim_010"
155,7460,5250,4946,15435,16918,711,15966,5198,4151,12454
156,16462,3443,17383,13699,13830,4382,940,15335,3904,14595
157,9828,12430,11334,14767,3778,13111,17644,16456,270,4480
158,5384,13014,8503,2072,14349,2856,3782,18071,3809,4218
159,17385,5022,4503,10962,15830,4813,4647,17041,6394,7709
160,18909,9842,6676,18704,16148,10559,9109,14272,10412,3645
161,16105,12608,7231,14551,17190,3053,11261,3046,10553,9344
162,9842,18557,5703,13306,13055,8466,6482,5283,18196,15412
163,9358,19706,4224,15917,11558,7385,9076,946,18338,14268
164,1625,2527,7990,15551,16147,1054,4016,8937,19521,17658
165,384,3873,16074,12769,10268,14947,3460,1185,4257,4175
166,840,3484,10257,11777,14425,365,4860,17306,4162,17125
167,16722,6392,1598,16780,3284,15601,14219,1241,1367,10838
168,10823,4942,863,3312,8402,8552,3944,8729,11765,8006
169,6608,7449,6871,16482,5334,10056,9842,12518,3788,1085
170,2832,6461,16675,1093,7183,13192,15232,10023,9538,4995
171,3826,10117,10820,17886,6287,10698,6452,16576,6591,18015
172,4241,14075,9568,19865,18028,3853,5711,10150,2886,9607
173,2470,11196,18942,4809,4875,16188,2782,12939,16623,18472
174,13167,17660,6294,15388,14211,14104,15105,9220,9670,7971
175,5926,8162,7265,15844,2084,710,5832,15211,10484,6002
176,4275,9450,4398,7843,4409,15598,9635,18569,13272,17024
177,13762,16078,10936,17296,12668,18437,12249,7130,10756,10562
178,10992,18604,11943,16164,17742,5039,3313,18330,7651,10278
179,18468,16831,2859,12579,16087,19709,543,1218,5272,542
180,14338,16572,6499,17958,14104,18263,6130,13599,4029,4382
181,7613,12573,14040,2560,8153,16242,17612,17352,9924,10817
182,6365,18910,16031,2532,11949,4739,306,18643,8624,18227
183,9255,9493,211,5564,17832,19892,8773,13598,2639,2747
184,1438,13915,13335,1831,4318,18507,11136,16832,19935,19268
185,18252,13951,13405,2376,17010,18354,2214,8480,9056,2430
186,13781,18644,3761,10498,18219,7329,8821,11133,6442,10819
187,15965,5784,4044,18981,2291,14171,10724,14133,11896,8277
188,10333,18824,2815,10880,1183,2955,7702,18757,18327,11490
189,14487,19715,285,2557,12970,7652,17428,9007,12340,17883
190,6245,3437,8123,4878,5275,937,1062,4977,8366,13173
191,10089,5930,15605,18447,3809,7462,2340,16785,6579,16955
192,4623,9501,18801,4841,13990,18943,2286,15486,1129,9383
193,199,10202,2894,7459,11106,7518,10358,3068,19303,13354
194,4461,18620,10471,9578,12165,3078,11284,7083,3045,12498
195,8796,10037,15022,4550,17677,16509,19722,6303,11958,7167
196,2147,7770,13599,18999,19412,12492,3776,3029,3388,1570
197,5812,17112,423,2323,8769,15852,299,685,14613,14324
198,8548,634,10909,18903,14982,4570,4033,14541,5418,4810
199,2483,2710,11482,9531,283,13304,7602,1305,4530,2396
200,1640,577,12253,15229,9858,8265,9962,9652,11324,7698
201,11824,10416,16896,2275,14433,19309,13410,19746,12484,15331
202,492,19485,13202,887,11900,9367,746,7202,5145,17461
203,325,11678,4886,8285,1078,17103,12169,17557,1396,1881
204,15625,10303,17273,4530,7238,17788,5385,6655,12580,12554
205,10597,3121,530,16921,2465,13170,5640,18569,6577,13764
206,8197,6814,10544,17003,13187,10215,768,16711,9068,16576
207,18920,685,18049,14323,19053,513,7991,3976,18876,11658
208,10486,10220,19299,8936,13572,18493,4069,3405,11180,2576
209,2988,5933,1135,13988,4811,3036,12541,7253,3714,11982
210,2111,19604,3766,11653,1892,13081,581,2902,4638,3093
211,8921,6271,18591,3963,9642,12321,1237,16244,10155,13162
212,19848,3638,10673,469,12002,4384,13794,2008,3410,7591
213,2331,19680,19761,12103,8465,2187,18736,3165,14243,3446
214,1251,14710,3330,9040,15781,9276,13181,777,14612,16808
215,14044,14027,15996,7255,3834,12334,2292,308,18192,11396
216,16993,4001,11982,14577,7536,1129,3394,17723,19113,653
217,10840,7705,18367,11888,17818,6946,2459,3407,4653,16535
218,856,17223,12383,17815,13389,2987,16320,13980,9689,5362
219,12826,1410,10708,7333,16894,2310,9986,5559,1252,10199
220,17830,12220,14682,16849,10369,13325,17520,4084,9728,7352
221,13889,16163,11259,1969,14191,10715,18140,4417,9578,14507
222,6568,4630,15365,17638,19720,4641,15743,9665,3862,12227
223,13802,16886,7044,439,4357,13696,1031,15112,11191,6629
224,9669,13801,2174,7755,1116,13135,13683,15595,3306,16788
225,6421,249,10591,13727,11712,9628,14588,4471,1010,10683
226,16231,11910,7801,18739,3072,18651,11773,5726,4694,19271
227,9174,13173,16763,4523,18948,17519,12110,2960,5878,14000
228,2590,4651,1400,19398,11671,13464,3914,8084,19532,6556
229,9518,14402,15253,7604,10840,14447,17719,2848,1750,1662
230,205,14231,7845,13682,9121,13648,16855,15104,11165,6628
231,1587,9565,19841,13742,9400,9442,10702,14403,223,13335
232,11478,882,17380,15281,2221,12724,14476,11872,9415,8247
233,13083,18261,16342,18914,10571,467,2742,17734,5436,19687
234,15406,10267,17330,4221,7793,12993,6672,2853,12631,19848
235,5303,15475,1737,4950,333,19847,8477,2933,5662,12540
236,15713,19668,2670,15349,9296,18600,19027,3393,19316,13053
237,3827,1767,15692,15451,12910,11239,11378,6835,267,4594
238,8835,3147,17666,13936,10456,1248,863,7992,16036,7699
239,8057,11128,16189,8321,2283,15576,18724,13871,503,19701
240,15643,1583,19503,7384,15187,5435,8491,6267,10030,14343
241,4185,15883,17201,6499,3914,4382,5187,13363,3571,2818
242,17847,19149,7019,13925,4669,9205,14295,930,18956,9676
243,13582,18131,12445,1678,6803,19708,7905,17747,2468,6271
244,13919,18291,2905,8262,13677,15263,16134,11765,13526,5531
245,4305,6782,1295,3348,9514,17518,12155,2425,13344,15216
246,18489,2345,4513,18927,4130,7195,8221,2061,1036,4848
247,3489,15124,4804,7111,6167,6277,16076,4641,8158,18453
248,7548,2947,666,8284,7283,6344,5745,18625,16920,13080
249,12376,1573,3218,16199,12157,3638,8026,4909,11750,4787
250,4801,17190,7244,10135,11758,3532,10764,15621,9606,1084
251,13680,4902,16143,5949,18748,369,10076,11497,17161,6448
252,8726,15717,2192,4311,11277,11246,16415,347,5087,9352
253,18925,9788,2768,9655,17266,2239,17893,697,3457,3319
254,4903,10064,15304,17215,14041,9079,3737,7219,9970,868
255,18691,515,13769,9825,18746,14128,4402,3154,13132,19957
256,12966,3439,19376,3908,9710,8126,5999,6991,17270,5883
257,3370,16270,9222,17860,742,13477,9528,19713,5371,15086
258,8830,13118,928,16312,14021,8966,17022,19008,9483,2355
259,15120,15050,855,3981,15979,5636,8084,13446,16124,18032
260,231,1053,13159,5966,7041,611,1247,18987,18828,19100
261,13719,13213,9318,11194,19501,12979,13006,116,14863,16653
262,14154,11834,6035,6082,14271,720,16434,14027,16470,7226
263,4735,4039,15448,15462,9036,7125,15808,19735,5640,17002
264,11495,12446,3865,4565,3754,2302,11853,10530,8573,12953
265,18620,16911,11901,6950,13368,965,9485,16211,2703,3592
266,10087,8160,1404,1263,5657,12381,442,13404,9292,16518
267,18974,10129,12893,18630,5400,9970,17555,13319,8813,5669
268,3206,2891,18287,16476,3243,2561,11758,19463,5762,634
269,12947,2644,18968,990,3498,17598,9541,12889,7123,19977
270,2778,4209,12443,3955,11150,14887,6062,866,17432,7406
271,19049,688,8949,15172,15516,14898,7304,1088,4396,483
272,13273,11869,1615,17810,7310,9691,4627,8510,14822,14518
273,4042,12342,9902,19274,1424,11522,9007,5979,9021,18291
274,14743,8782,6167,11889,6618,1815,19448,4783,16053,13545
275,8568,557,2937,5538,468,3715,18905,6456,1467,1771
276,13284,15167,13516,5338,15121,17557,9244,13587,8573,19962
277,1165,3547,5001,6224,2950,10269,7378,18233,16148,11440
278,15251,19114,5974,7135,8707,12579,14604,6237,10123,4261
279,5325,10811,6276,15585,14533,19045,950,9220,6218,927
280,6463,5691,18124,19167,8510,6350,2587,11830,12876,2924
281,14081,18730,2912,16009,15833,11004,5450,4922,14524,15533
282,1057,5630,2261,5270,16785,17875,18434,15105,18354,8020
283,3951,16572,10346,4238,6555,401,14612,6664,17492,13094
284,874,6700,620,5434,16470,9066,17024,7306,15911,736
285,16409,10871,8595,15290,8238,5612,131,18365,3863,4691
286,4404,324,12324,6104,16820,10727,3897,1199,16603,5495
287,3942,6231,12170,17297,490,8600,17619,1515,16856,2159
288,7998,19027,17721,8981,9135,8575,3391,6214,9970,14316
289,2561,17668,793,8088,5384,12350,7531,10251,14278,6789
290,11967,16057,10678,18889,2708,12830,14547,2175,8014,9301
291,19566,6150,6203,3475,17467,6142,1627,9658,8170,5925
292,9674,17150,5334,10209,10927,986,1970,17267,4432,18498
293,16764,2417,19197,16357,9372,16640,18754,11330,17709,9145
294,16485,6560,15304,15819,13031,15922,3883,15205,18744,18316
295,18602,17282,4607,8262,16666,4576,3738,13695,12350,1994
296,11674,678,9914,10849,9731,14345,18569,12861,14577,8107
297,16774,19185,9600,8563,1239,7063,7766,12572,19869,9748
298,4497,2118,6986,8452,8961,11207,15397,18764,17964,2282
299,9585,15080,5140,14481,17868,2181,2629,10656,15063,15188
300,16311,5243,5330,9779,1519,7886,8422,18800,2244,13251
301,14476,16463,16506,1750,13362,16566,1986,12752,18029,17186
302,10762,12735,14329,15699,14727,16225,18827,10203,13269,4713
303,1477,16235,19894,349,19018,16820,13897,17305,16361,14566
304,4721,13655,14002,19120,11689,11318,12934,3494,13620,13486
305,12557,11285,2978,11461,14884,13097,3333,4481,6248,12800
306,11510,2023,1361,12604,9497,11921,17696,7736,416,6070
307,12642,13241,16504,5400,12442,12547,7822,11460,4939,12585
308,19543,19789,11442,17778,598,3633,1906,10747,17805,3469
309,10447,17157,247,17836,12638,14464,7343,18490,1104,12897
310,16221,1474,15095,6004,12343,15163,2923,17033,10951,7323
311,10670,4478,13356,17865,15280,4220,19350,3987,2660,1590
312,6946,884,12933,2100,10838,8766,11377,7626,4720,12450
313,17337,7583,2837,11191,16419,9016,16695,389,7757,11607
314,7382,3915,18994,12622,13656,6591,9396,12571,9007,12790
315,190,19186,5065,4677,9780,5683,6664,16277,10308,6628
316,16575,6751,14235,13069,17158,10821,18466,9671,15904,7659
317,18598,11585,3706,11457,11306,16742,5582,3962,1076,19542
318,1437,5249,14922,11036,13191,13331,12077,18048,9089,762
319,1237,8325,15353,15662,12112,17707,5363,9435,12714,5646
320,10391,4052,16750,18194,16843,19373,9506,12326,1564,3197
321,5268,4451,8235,10518,19065,19825,4285,17349,12770,12410
322,16316,6973,16874,11384,5152,18306,15598,6883,18761,16097
323,16958,4777,5557,10053,9641,2085,13778,12629,3422,3684
324,13698,5275,3205,11370,7719,12428,667,13714,9821,19505
325,16419,9159,10641,9344,2672,5294,17710,8328,13205,3242
326,13078,17315,2661,1083,3443,19493,3312,8265,6615,2992
327,19713,5134,12539,16109,19448,18997,19512,3075,13744,2181
328,15821,343,3763,14395,4621,8045,7183,14315,19027,4110
329,15595,7678,6696,14936,17700,3305,6345,9777,10955,14556
330,16706,6722,1592,6049,6310,5428,13611,3000,17417,9042
331,19210,16789,14618,13020,17276,15028,17502,17126,14949,19867
332,16913,3900,19743,8233,11797,16287,135,17802,17882,17071
333,7318,1868,16512,11220,9805,11585,4718,4305,13668,8158
334,9780,16742,10562,9814,7415,11234,16298,14927,2255,5412
335,12075,11475,18580,13263,9126,15712,12848,1699,6879,19954
336,10595,3185,8633,5990,10997,15357,6513,6356,9117,3962
337,1649,14661,7748,8603,2118,6767,2965,15095,16790,11695
338,1165,10774,15593,7931,9620,17529,10507,793,15527,16303
339,8347,418,8314,5412,9776,18546,15472,15911,4969,2359
340,5211,2560,13887,1325,16911,9273,2228,6116,6635,17291
341,12100,5541,1956,7739,3095,3585,14342,16299,15761,9458
342,14592,15383,7542,6320,17929,18734,11159,9576,7082,18100
343,15067,2299,19220,9746,14142,4328,7305,6953,6398,7338
344,1080,17827,14138,8593,9085,8988,4702,1392,4079,5369
345,2455,3570,3619,9772,13549,13783,19275,14681,6332,9295
346,9943,2419,16146,7830,16882,6878,8952,11678,6868,19482
347,17632,12696,18427,7557,15206,14759,16420,14097,10148,15810
348,15303,1512,14312,1275,3282,9974,16707,1966,18876,8369
349,4867,19487,14897,1603,5121,7079,7111,12582,6012,5274
350,5401,3032,6711,16956,6987,975,15632,14354,16372,2149
351,5778,14954,10145,16420,6730,9921,17164,15732,9922,4321
352,11210,6003,6486,11947,2439,15518,1741,5096,19715,18674
353,19593,1381,15767,14603,12693,8361,18970,15033,16560,13951
354,19706,10797,13461,3379,12537,9015,10310,19001,6206,14264
355,17819,6601,19656,8769,18563,12846,11298,14790,14093,5771
356,2403,2617,8836,1232,7772,10258,15832,14627,5711,7967
357,2229,17788,2918,18106,11651,5871,18429,14958,1338,18277
358,16968,14528,4407,1940,7664,3107,19992,17255,13506,6323
359,14469,13978,15964,7980,173,16205,9571,18306,8519,211
360,5954,3060,14949,4029,16838,14892,14192,15078,13864,17657
361,9071,17624,7181,18314,13002,776,18902,8602,8153,12787
362,14978,8281,3500,9527,19831,4192,12023,4463,6011,413
363,2251,10349,16733,15373,12989,17404,11610,646,9181,18374
364,8695,8791,7993,16525,7260,18763,17408,2095,16451,18574
365,13569,10651,3155,9000,6094,8071,10784,4173,15443,14788
366,8516,19671,5700,17461,7974,533,8157,1637,5840,19329
367,7896,8138,12001,9101,8598,11505,14693,2038,10847,2391
368,18997,347,6920,18482,19464,6222,12278,1895,10998,10581
369,13907,4346,13440,17714,5303,3579,2973,6391,18225,11397
370,8091,14936,6975,1852,13731,19395,16052,12565,3598,8203
371,358,19560,232,17165,2596,17108,13799,3335,9135,8894
372,10005,5908,2656,11779,1946,3540,9464,8866,19661,9872
373,7571,16068,11431,9288,17381,17643,2028,5556,6164,15080
374,14484,9112,281,3431,4815,9075,14708,18615,11400,873
375,17655,9422,17431,13647,3647,13571,5895,15507,1251,18208
376,12448,13765,10010,2542,4385,13544,13416,5477,15507,7467
377,10923,13198,9013,16082,11922,9847,5902,5352,3865,1637
378,13797,1972,12183,6702,5685,14041,19819,17576,17083,3295
379,6132,12305,16398,10186,9427,5642,10196,2456,2874,17640
380,1272,880,11486,7020,5904,12494,3832,12152,1961,7484
381,7835,14846,10457,14094,1034,6318,8453,15123,3504,16471
382,6141,17859,131,18226,16806,260,6945,16205,4491,7760
383,16526,9628,5319,15357,4704,8556,3181,14573,15521,5931
384,8534,19479,15828,2566,18155,5729,2892,18288,1646,7533
385,1850,3164,2075,1202,4444,17719,13489,16159,4641,12210
386,11272,11450,9874,19672,2924,7899,1806,4397,7102,4351
387,17262,8523,17544,14354,15013,11651,16671,5958,10593,2962
388,1075,187,19635,2285,9279,9659,15588,17683,10799,15011
389,542,13165,8288,6282,17014,5110,8311,11714,15383,9348
390,17747,1965,2409,569,12878,16934,12570,3783,12726,6909
391,4945,5157,12596,15254,4714,11123,2119,17359,17362,9657
392,16664,8043,957,13297,7522,2189,10490,18591,9871,8487
393,11232,5101,221,5537,13162,2954,4698,14070,13229,4316
394,12047,8634,5884,17260,9408,7192,2525,2934,9007,18090
395,5235,2860,12495,2681,13369,8649,3253,4140,12269,14923
396,4831,15994,9511,7627,17297,2065,4401,4219,2845,15267
397,19199,8226,16465,1470,5361,15841,16644,8888,19700,8246
398,18734,17490,1489,8441,5426,3550,6066,4264,11400,16104
399,16264,19568,9575,660,8562,3009,10646,12199,4849,19240
400,6132,13823,13523,13600,191,7696,13846,7093,16587,5777
401,5528,17804,14674,14158,11341,5609,18897,2387,1068,1293
402,7844,5754,12280,13896,2846,7655,3393,12980,9947,3941
403,12203,15050,16272,14364,8377,18171,13117,3447,3933,5907
404,11279,13267,1413,3320,2037,4940,12415,10240,13927,4583
405,18562,13359,10769,7455,3695,5879,8741,1558,10516,9598
406,10364,18988,18117,6854,18894,6184,196,6499,6001,18762
407,4589,18671,11608,18000,19810,5350,19332,508,14812,13792
408,17952,10607,19597,15985,7693,15019,5625,14742,1140,1064
409,3053,19566,3101,1853,9205,14305,9504,19281,2831,12835
410,4003,12007,18400,1481,15453,12406,9894,6294,10871,7960
411,18098,9635,15808,18338,16887,12253,8071,5857,745,18780
412,2667,11228,14808,9027,287,15420,5875,14599,13023,4941
413,13042,14723,9077,1439,8756,6843,6346,8176,6838,18793
414,18162,7330,16291,15619,13704,16122,17164,888,14598,10298
415,6179,4258,19082,6465,14215,18329,1099,16915,17573,812
416,5853,12185,12286,13113,11977,10376,2915,9955,8439,2131
417,7288,3613,17050,17953,3671,6479,18532,17511,8825,14896
418,16781,5581,18899,3405,14215,11982,12904,8509,19137,10747
419,14213,15003,17617,10686,14144,2350,12857,1902,17744,17767
420,13609,18866,4393,16367,12280,18480,2546,14831,5037,8996
421,10615,17914,13012,8876,17817,9329,19120,4099,8119,1191
422,1344,17175,4060,12976,11668,6184,3872,4028,5494,17616
423,1723,1155,3367,518,15953,13675,8243,6704,15569,9303
424,7804,15360,18317,9700,16548,18443,8355,2783,723,8478
425,17525,19654,7680,8675,679,8952,8811,9908,15185,14428
426,4577,16505,4314,8318,17485,8006,14872,6759,3764,17204
427,18158,3806,18498,19804,8656,4587,715,17906,5562,17442
428,10582,10016,8092,4054,5234,17699,608,2864,1531,5235
429,16790,5070,6118,16044,4857,3660,19479,10816,16685,952
430,18463,122,17479,16565,19234,11479,2858,16545,11459,5675
431,16917,11329,14847,17271,16098,7672,837,14164,15990,2570
432,17388,1934,9664,10016,7612,2095,16635,9710,17260,12358
433,13640,1697,9750,19955,318,2446,2779,14536,17893,5083
434,4310,17185,14130,2991,6466,6525,14313,15383,7249,15255
435,11309,13491,18317,16627,16297,17587,9205,12955,11030,11114
436,2016,17026,381,12212,13648,4633,15476,2150,14202,13848
437,3911,16548,13933,10821,1104,6629,5757,15373,15530,4885
438,10449,8005,9071,15940,12487,13277,969,18015,17152,6620
439,10057,6937,13589,8876,5179,1754,14590,15616,15953,5854
440,4467,110,15551,2353,12354,11069,11518,18034,18390,1734
