"position","sim_001","sim_002","sim_003","sim_004","sim_005","sim_006","sim_007","sim_008","sim_009","sim_010","sim_011"
40,13570,16263,2855,11699,13188,17362,12888,9859,18317,8756,9801
41,5449,2368,13881,13846,13242,1004,9139,18827,19082,15048,418
42,1555,8976,18426,5648,15097,16863,1261,18974,6072,8669,15500
43,7784,10658,5612,4379,1587,9397,13479,8172,11562,2728,7160
44,1950,4306,19192,5541,7217,7333,4112,14204,8247,10291,13971
45,2713,302,17412,6171,19897,3133,4249,13946,14054,231,2139
46,5681,18887,16192,2693,1559,14065,15420,12446,743,1236,6747
47,18417,6075,13079,14281,17996,175,14048,4679,7901,14066,8988
48,6192,11755,16130,13392,4698,5393,11255,2844,633,8006,11342
49,7230,9888,9704,6617,15698,8279,15950,1112,17585,3371,13274
50,2156,18043,9155,12235,6668,278,18233,13389,4579,12228,19684
51,12505,16177,14708,2612,15306,3714,17475,9798,8945,18193,11082
52,4447,6068,6897,14704,15286,11405,13587,8261,4452,8968,1723
53,2054,10610,4083,6612,7084,13066,10212,3096,12389,14617,1210
54,6415,6001,6107,16852,16267,1490,2779,11335,11856,12593,9974
55,5938,10019,7341,15274,16410,2491,5334,15405,16382,14636,616
56,14809,222,1902,4114,2941,7098,9698,6524,1962,7082,5251
57,19974,13695,209,9979,8375,585,2166,10501,18278,12262,1863
58,3809,5676,18376,13995,5034,6170,141,892,3508,4544,16945
59,11004,5042,7672,13278,15223,4217,5151,8886,8507,19148,15727
60,10085,13165,13522,18122,11318,3773,8598,3730,6975,639,19030
61,18677,3256,16205,19452,8983,12998,14664,11543,2995,10648,6613
62,16716,3293,8886,14465,18509,8769,10366,1313,12391,3227,5170
63,7132,13737,13842,9133,10088,1778,12087,9768,13133,4924,13880
64,3004,6983,16665,19720,5770,4552,13216,8795,13502,2891,19458
65,6780,15847,12229,17385,5649,4057,3100,10983,4311,15156,4703
66,14630,13177,12520,13503,18539,15631,10294,13154,18748,16509,17233
67,8027,804,19883,3619,18701,2436,2381,14367,18788,15364,17852
68,13546,12587,19758,6478,12862,1528,16715,5153,1066,5843,6177
69,703,2417,5249,12836,10729,13210,7349,6564,5057,16258,13115
70,19079,6363,18914,14900,13801,6672,1156,6579,1241,11260,10774
71,1987,10924,440,16351,7510,10849,5373,9084,6433,5904,12074
72,1136,15051,15994,6352,5968,7815,12054,12183,14747,9280,8540
73,13711,19724,11804,13345,13721,4805,5134,3852,12718,2722,11126
74,15471,5171,2440,2741,5955,10291,5795,4193,18737,9562,10881
75,10697,9727,15430,5221,9963,17774,8292,15700,9867,8414,10476
76,3474,12064,9194,2436,7913,16964,9086,8643,1700,173,17709
77,2519,12656,1394,17500,13367,2547,14294,4021,3793,1329,15449
78,19142,2490,554,1734,2924,1204,14998,270,9911,14389,2525
79,8057,5930,10748,16922,9852,19295,17861,16760,1991,7928,17693
80,5422,13052,15508,14705,18027,17742,4660,13827,17808,14942,12551
81,18018,2682,272,14897,934,10855,5063,14316,13763,15706,17645
82,5382,2632,10192,11449,477,4344,18458,17731,9216,6458,4169
83,12468,13210,12629,1076,5375,17711,16599,9507,7824,19848,5108
84,9567,19104,18779,8329,14403,4830,11529,5260,8982,3929,11810
85,12941,568,9000,4562,1767,16488,8883,10354,19976,7984,8464
86,8608,18193,17346,7847,7843,12064,10955,8645,14793,2882,18782
87,11505,16325,12053,951,7020,6980,14169,12624,12671,18637,15093
88,7723,1078,14091,6256,17783,3820,7292,17775,535,9556,13217
89,6422,12525,6390,12612,1746,1285,1907,5689,7135,1896,11959
90,2503,15772,9271,12105,10928,16664,19448,11394,17660,2752,7120
91,8350,4922,11116,2992,14454,3066,16701,7542,12134,726,10667
92,18881,2506,6108,9147,2023,12942,19966,12105,7273,756,11224
93,1288,9866,16403,4436,12499,2898,7869,4764,4698,3638,14960
94,14238,12757,8424,12977,7690,15320,17141,13674,4865,2855,15661
95,14376,17631,11750,6120,9935,14604,6012,1091,9134,2607,13620
96,14500,9242,13937,6970,7342,13964,17192,2497,6889,2316,4065
97,14225,17718,3068,17383,18357,12294,6712,5517,11561,7165,9774
98,6659,2451,9165,2506,8619,17048,17241,14297,9353,15553,7081
99,2707,6748,9384,201,1394,16073,4787,15188,4623,8174,18601
100,3733,19285,14987,9503,8817,16399,8285,1591,19467,9823,937
101,10388,15880,7213,4019,11794,8645,10282,15762,7688,16305,8304
102,18672,1665,19019,7505,19490,17034,15677,15613,5135,15361,11103
103,13613,5092,3748,1247,1587,19551,18698,2633,3052,17273,17498
104,16620,2775,4116,10971,13371,8500,872,8191,8829,4691,9182
105,17274,19476,18863,2338,527,17430,10968,13319,18067,1732,7676
106,6986,5006,16071,4183,1903,3410,3251,19328,4294,6650,704
107,345,6634,1521,10495,18310,4515,7774,19464,5430,15698,12369
108,2973,12615,4986,8008,3379,8727,7738,5586,3811,14097,14641
109,12292,6774,19595,851,2514,7623,17620,4323,2995,1444,16204
110,11704,2967,19195,14229,16734,11597,1624,7432,14750,6653,991
111,12030,14211,11750,14506,16057,17558,1660,4707,14618,978,4476
112,2330,16010,3711,9446,2527,3761,9546,4773,13903,19579,9684
113,4037,16961,3746,3466,4312,18037,6263,19135,19570,2198,2443
114,19516,15680,14073,3032,1908,2127,18626,10078,13032,19100,15076
115,12775,10013,12451,3740,382,17037,2925,1383,5217,15801,19168
116,15482,15828,7098,251,6231,19992,19620,10343,3883,15823,19180
117,7216,11328,2404,3822,13212,16409,15017,15966,8227,16256,1386
118,15276,13526,10827,6113,4634,15691,18939,13130,10726,1535,11571
119,6692,3299,18894,11880,13969,15115,11590,7191,13642,6242,3717
120,1474,9931,2642,16518,3408,1066,17054,12121,4106,8185,2167
121,3549,3855,7667,223,7368,3746,9186,5920,10705,13098,19729
122,6621,13962,12155,3044,9830,18143,1652,15943,8279,6973,7238
123,5759,12552,773,14057,6248,6752,7375,3970,7724,14573,6034
124,178,16074,17020,530,1628,10814,13710,890,10871,9913,2561
125,16183,16728,10614,19105,11367,17699,13227,15360,11854,11722,4303
126,8379,12267,11952,6846,8300,1252,17137,8668,194,10191,10156
127,2477,14984,16707,358,4457,2522,2857,3182,10283,757,319
128,529,4741,12165,3623,17398,19271,2535,12333,5742,18196,597
129,9940,3522,2692,10709,5212,15275,6245,19350,14416,8020,9438
130,10840,17653,1522,17821,8762,11142,13162,5690,19859,818,1800
131,776,12322,12042,14369,8228,3158,5491,9540,17665,2440,9751
132,19192,2714,4915,7504,8986,721,8586,764,17945,7198,13161
133,17585,18760,2630,18736,15461,10218,6057,9649,4419,19458,9350
134,6977,13946,1556,14823,1746,989,8268,9997,15888,4024,11932
135,7265,15483,12822,5914,755,16696,7185,10703,9498,14523,19207
136,11033,2288,14504,7493,7754,3322,15680,617,303,12766,18190
137,2006,17827,9161,14671,12559,5101,2087,10772,3753,5460,18284
138,13213,6427,6349,8997,10652,18600,19033,12274,15392,12640,2663
139,3483,6013,7625,3636,4829,13941,10012,19462,10946,16652,17887
140,4534,14292,2736,9808,10965,8736,17159,10088,19592,6961,17660
141,3229,1919,1624,10800,19098,15336,19376,12859,16790,8474,579
142,8432,2753,15119,7584,7210,9317,2684,10690,18918,4250,16838
143,5222,13297,1068,4545,14165,6428,16712,1795,9429,1369,13030
144,19639,11958,7707,1841,10751,17649,19022,3376,4095,13042,2274
145,19653,3027,6019,16769,19180,4689,19876,17099,8263,5472,10648
146,16254,12316,10769,13423,10138,6398,9595,16028,18033,2813,1211
147,14601,3437,14789,10830,6629,19983,11883,11548,14860,5540,8223
148,5239,3791,14751,16943,18069,1602,4177,169,17416,15789,5496
149,12744,9978,11206,6486,15728,9629,17813,4043,18501,19823,16986
150,7832,5024,10630,1593,7610,4579,16328,9983,9133,3950,12203
151,1034,7582,4763,13441,1657,3433,11786,7939,16880,6640,14231
152,1272,18318,6155,3199,18103,9433,15455,19640,5690,14522,16285
153,15452,16184,16221,7913,7573,7773,6510,10385,17864,14435,8302
154,6120,16110,16374,13244,6765,14771,18451,2690,1054,18224,17787
155,9472,14429,17243,12958,9323,5690,2633,6295,7121,2698,4674
156,19838,1015,2651,4098,14850,13806,13701,4061,8799,4934,19144
157,5626,1454,11242,14641,116,7104,9473,5386,10658,15782,12575
158,4872,18786,18026,4616,5174,2358,11805,5044,15268,16536,1156
159,3381,7104,12891,11038,12550,5664,19233,19787,4673,15187,7196
160,8852,14687,18040,18012,918,14719,4102,12250,9080,18030,2217
161,3466,12246,17804,17683,2483,2977,1049,15557,10428,7951,7586
162,3501,18254,10740,2660,11893,19781,341,14938,3429,7631,4199
163,3463,7046,4650,9817,12473,3554,15559,18643,10769,8062,5590
164,13895,16654,10587,19272,3823,530,11776,1458,12363,12824,17420
165,16298,11520,13779,14324,12951,13938,14337,17158,19386,10566,14351
166,13112,11589,7334,4831,18365,19044,13847,11251,18850,14500,10457
167,7996,9387,18527,1955,5163,2395,3503,10741,7982,689,17185
168,12564,16141,8861,13491,10154,2790,19947,19215,18502,2694,12392
169,16084,2522,2361,11926,3067,8352,2412,1005,16972,4087,13472
170,11310,6667,5621,17085,2210,14860,6452,11574,16384,9640,6151
171,10972,13393,6138,6418,15898,6751,12487,8806,5820,1288,11033
172,9295,5684,11758,676,3227,182,3161,13601,12460,17983,16577
173,18278,10606,2509,738,208,1868,10454,6637,12658,840,3231
174,13827,5184,2513,17162,4616,18189,7468,16589,441,6176,1126
175,12100,18956,16852,11649,4315,18439,13249,11279,13289,15076,6329
176,2862,10709,6589,8087,6512,18284,13744,9895,1218,9521,4055
177,16011,15786,4349,16415,19951,3184,179,5836,17554,4362,12342
178,11705,17549,1721,6079,14927,13102,6839,18760,11424,6261,12256
179,14275,6900,16598,11057,2062,6862,8776,15720,17540,872,9123
180,17317,1892,2488,8423,6037,14278,3310,12817,7697,13717,7677
181,19113,8363,975,9222,2847,18656,16643,16641,13181,3606,9889
182,15948,15875,6091,15812,13469,17811,10896,2337,15174,3431,2113
183,14423,7873,3819,17411,9373,4304,127,11909,3412,7786,7997
184,18855,14916,17680,19984,4875,13489,11930,1807,15863,5787,18192
185,5864,18212,11612,17311,14225,2413,2124,6817,10653,6195,11998
186,16018,4173,18121,19440,3172,15528,17930,15134,19772,7787,18492
187,1651,5014,16604,266,7901,11494,5432,6410,17066,493,1033
188,7976,3694,7017,10058,13812,16097,18885,14928,308,17561,17829
189,10998,9069,2615,3960,16685,4427,8608,19159,4880,4455,14113
190,10547,5831,13161,5808,11916,2649,7102,10035,14782,6324,10521
191,7597,9871,9703,6193,9517,9861,7456,682,11668,6759,9117
192,1328,14726,5322,12424,15720,15758,2588,2648,9882,9599,14479
193,1850,5307,9220,17669,3917,19667,6414,7957,3442,19434,16423
194,16336,18707,2458,13055,11919,1289,15133,15499,8431,11658,3526
195,10763,14525,4330,13990,19505,6087,12323,7802,1516,3427,8331
196,16778,5314,16153,2234,13086,9064,4383,15014,5315,8907,12746
197,1926,18243,16654,10637,6317,17254,8450,3868,3670,3007,11067
198,11217,373,14424,12025,10032,9239,9439,8912,5098,13549,3375
199,16413,511,4160,1266,3512,10662,9499,16039,6699,1390,19976
200,405,12143,3367,11813,8270,10941,1259,13229,6964,13991,948
201,1720,14296,13797,7914,2909,6696,16723,16488,14405,10619,18574
202,8631,7374,12755,4947,17156,5909,18113,15221,8792,4218,3983
203,1411,4523,4390,14746,12051,12636,18838,7662,18806,13308,6683
204,1965,13053,14329,707,3451,12811,18155,3010,19596,14189,4911
205,9885,8492,1217,16145,9488,6770,3441,3325,14255,6032,5610
206,5807,18269,3131,11450,17938,5813,7706,8483,12668,15708,3314
207,16371,3882,3401,18929,5168,6184,534,9400,3625,1713,2883
208,12210,18391,7630,8270,3841,11747,9932,17928,13967,12746,119
209,9480,4950,5684,7892,14582,13302,12767,13676,14781,13091,10786
210,2084,12461,17077,3794,8336,4646,17009,14493,18956,1493,4319
211,12710,19671,5856,18910,4876,13005,13809,13058,1071,2669,4397
212,6609,14219,2584,5184,9323,10488,18018,15970,12534,2582,6925
213,14144,19318,13658,9992,9497,15412,16418,17678,17022,3552,17224
214,15805,899,19285,3179,4579,16310,3519,15911,16065,13599,7367
215,4335,15761,13731,2078,12708,14710,5094,12991,16163,7563,11043
216,17668,13107,7114,9646,1989,7633,7514,14984,8779,13761,11929
217,11824,2112,4953,755,8048,19852,14546,3142,18190,9279,13276
218,2269,6413,3200,9047,15458,14451,17798,19268,14596,6000,12775
219,8413,10283,12306,7586,1977,11925,18181,18443,18621,7749,7873
220,13502,3378,3859,7307,9472,12510,1718,4034,16759,1759,17526
221,14854,16358,5119,13355,17497,14818,3955,14921,16373,16928,15950
222,6011,4130,8023,15677,13450,8144,13386,15291,15478,2078,9257
223,7825,14412,155,8524,19444,7626,12016,9055,1572,16670,6678
224,14943,12562,13062,17188,1082,19198,3899,9172,13700,15912,5835
225,12416,19358,14488,4981,10286,17413,12738,6387,15250,15451,10431
226,7629,10779,2603,7245,13025,2922,15975,3461,17128,2021,7670
227,14306,11961,14539,13733,16846,13360,15030,11284,7756,3388,15566
228,12738,10384,7576,5029,15830,14139,12045,15157,4008,14700,9875
229,9354,2626,11593,5156,9788,7461,6589,17641,12174,6105,13932
230,18306,13059,9626,11314,3544,6161,8329,19041,9700,8459,1311
231,6345,4942,9566,2933,10137,6500,17702,12980,9664,4502,2542
232,513,1814,17512,19637,18869,14154,4786,10129,15398,9881,14475
233,6769,18803,8283,19874,5456,2154,8279,9372,18118,19708,11922
234,1696,2370,14050,1579,7253,2779,17203,1582,14216,3311,13187
235,11920,12366,10257,17733,6055,2976,12309,18231,19561,1087,11636
236,9436,17672,14773,14047,13983,19713,4485,18654,19817,13790,14928
237,8462,18289,15032,4826,2799,11816,6369,4079,4461,3190,9416
238,4793,9403,6705,636,7204,2554,15300,2756,2280,2363,18452
239,7626,15702,1966,8518,19526,7852,15986,3840,17138,9405,5520
240,5351,4225,3969,6840,2971,5409,1698,10144,8698,13457,15539
241,13117,8239,12066,3483,11184,13194,14795,6454,12636,10454,5953
242,7120,18091,9126,16701,4572,6366,19584,5010,16595,5268,13553
243,8009,9236,700,12059,1048,4305,1560,2068,17998,7056,2071
244,858,11636,14220,18741,3232,5129,19086,2175,283,5916,8420
245,3124,13082,9357,13333,7886,11683,1574,5492,17753,3674,633
246,9329,6341,11162,3153,13920,10034,9653,5849,19281,1797,12408
247,9420,19737,9683,19987,14587,6481,5676,18112,10702,19080,14703
248,9942,8777,3582,17477,9637,12346,7938,14392,6266,6437,18806
249,18029,15523,9748,6037,4563,7361,8335,13228,5972,17900,5702
250,19042,10414,16302,15675,13088,17259,4291,6903,10729,2169,2728
251,18612,5441,9348,8525,18272,11591,12312,1688,18400,7845,8005
252,18491,18699,16224,2753,12826,5825,15930,18670,16985,9581,18165
253,5467,15718,17005,19882,10334,19473,11156,1169,1776,18863,17366
254,10075,9430,19625,11426,13783,3297,19670,7497,4225,3273,13824
255,2482,1832,6803,6448,7094,19473,8577,1629,17543,5272,16141
256,6733,16617,16982,952,1229,8899,14512,11137,9041,5852,2429
257,5519,12245,6357,16322,19626,16304,3701,8848,6370,15024,13295
258,19343,1492,4952,4571,15387,8158,9625,9756,5173,1345,16521
259,13940,6699,16573,12459,11317,10779,7818,8995,11632,7034,13032
260,1427,15649,4495,617,2394,4238,7083,17309,12003,8477,14025
261,16709,2617,9654,16679,3078,6734,3993,2265,17759,6918,14934
262,6805,10371,2279,5050,6555,5435,10335,3254,5775,12080,10960
263,11297,4932,1062,18616,13768,1109,14305,13934,12621,1959,9991
264,8282,7435,15064,14154,5319,17118,1951,7874,14705,19398,4502
265,13202,17209,18125,19336,14279,18260,9198,18654,19557,12643,9076
266,11533,9083,10348,15250,14795,8844,19851,10025,5570,18323,5026
267,9685,448,4449,13493,6323,9837,6413,1220,16046,4694,12146
268,14993,18019,17416,17009,5704,2112,18475,15438,3565,2007,4133
269,17845,1402,7722,16316,1119,15108,2117,19417,8960,17031,7256
270,11920,1023,13277,125,9296,9454,17268,14495,1295,18582,2608
271,3143,6553,19676,12954,2670,5606,16128,10246,4455,7070,17881
272,7749,287,14484,4963,4363,19604,266,18735,13730,141,14701
273,8929,7559,14332,12875,4196,7419,9415,18308,808,11337,4115
274,3045,16876,2551,11932,14806,14452,8971,2099,16738,2121,2867
275,10053,5775,4702,19467,2763,16192,13181,1890,9395,13091,4535
276,3481,13368,14422,945,2496,15511,7378,6047,17358,9168,5414
277,8908,444,11075,2140,9464,16378,18133,10011,14585,2266,18440
278,9326,14618,14576,456,7552,4354,8537,106,10770,18420,17900
279,13375,6424,16384,16113,19138,3913,13491,9261,18712,8939,15403
280,17921,10935,1353,12615,359,12201,380,10214,4160,6971,9424
281,799,12163,19460,16247,10314,1723,12264,10512,18054,12962,15441
282,19271,19057,7757,17109,5311,2622,2197,19189,17463,18545,16352
283,2327,13014,192,6154,8421,16729,3594,19755,1979,18484,9162
284,4939,5179,866,15169,15843,17495,11765,18030,14891,14853,19745
285,19477,19794,9938,13987,16379,394,7530,7160,15511,14769,5986
286,374,6246,5956,3314,13106,5258,16661,17111,16834,8466,15052
287,11895,14368,14165,14333,1497,19639,19489,7383,2860,4045,5947
288,1304,907,5553,14614,5955,19285,12898,8413,17868,15553,9236
289,11010,9474,3956,6403,1042,15949,7773,11368,3679,12596,8004
290,15878,12140,19582,8373,17120,13641,5899,16724,18425,16098,6345
291,10585,2095,15478,9988,879,16351,14990,17903,9046,8318,13471
292,702,7775,12709,2634,18480,11142,14781,13850,16637,1804,19973
293,4308,12412,17680,17264,797,15141,8733,14406,11891,10554,1794
294,7262,13653,14346,13796,9287,2031,13151,10441,7985,5115,18437
295,13038,16824,18548,4213,1077,16652,13619,18550,10700,11747,14278
296,6860,5548,10372,7210,2448,13673,10606,8811,12924,12984,17235
297,9849,13767,4129,4233,15347,10032,11949,16312,17993,18327,17047
298,13027,13836,12257,13557,1472,19602,2677,2496,18032,8358,3976
299,18811,14058,16715,9419,6507,10306,4362,4420,5212,836,10946
300,11434,14097,11986,12416,4456,17097,16174,9738,13932,9200,4787
301,13888,17058,8987,4091,8619,3500,6025,11496,3710,10485,2357
302,10905,19046,10915,6887,15352,5826,1987,17536,14673,828,6055
303,12775,8405,13921,14917,17366,4476,18947,16790,16622,7689,9031
304,313,3859,8497,18649,3062,15073,15966,17005,11226,2062,6302
305,5443,14509,11758,7598,251,12062,12471,17699,5893,7151,6612
306,4158,11920,9504,1924,19943,15303,466,19514,5335,10301,15014
307,17268,10509,5413,15361,12963,9158,7953,15426,5289,3245,19943
308,1217,11067,15631,4843,8864,16711,13100,3381,13293,4230,363
309,6880,16736,18057,4594,13629,6925,5834,4915,14795,3472,12335
310,210,10233,14693,3882,3491,10802,15298,19965,5668,16688,4443
311,4843,19477,3757,11342,18704,18032,15856,7806,2985,7558,4564
312,16912,12627,4610,5455,9900,10921,1293,7938,10721,11861,13874
313,8055,19301,5871,6277,9808,17425,7245,19059,11045,4128,8733
314,3545,8414,18778,5381,12468,10499,11547,18939,18383,12196,11274
315,14749,6193,2240,13660,9856,19786,4488,9634,17198,1828,13622
316,10730,7511,2905,7655,15609,13855,18916,3936,7973,11282,8228
317,544,12499,3267,8153,3757,17679,9653,12214,18237,11015,393
318,12186,13845,8035,11014,3883,9200,4750,945,14233,17659,18220
319,12276,17767,9617,4836,19623,2215,13572,14176,4017,15233,6293
320,12275,19864,1556,2126,8808,757,1989,13738,18839,11376,298
321,7488,16267,4943,10608,12657,4422,9485,17907,15134,2017,7105
322,177,7557,8876,2795,15894,527,16366,8967,1195,14566,19806
323,17036,7959,14593,10500,4432,2998,14477,13100,17050,1648,7204
324,6728,19672,1954,17730,18765,6971,9413,5088,15209,1575,18001
325,2908,1536,16369,11003,11455,997,8298,4163,8093,12406,14278
326,17984,12747,11636,6651,16537,8393,1228,1442,5474,18097,18863
327,6269,16512,4015,13940,294,5144,17954,15147,13914,1427,3542
328,11082,3660,5058,14994,12583,14214,16328,208,4905,13017,13107
329,13166,4661,15127,15428,4764,8181,18905,14501,5473,17419,12232
330,1991,14001,17763,13129,15409,14316,221,10378,11761,1258,1158
331,8461,12167,12127,4248,6017,14979,17342,11009,15560,3912,2284
332,19768,3021,17966,3519,4037,3863,3248,15772,14884,11919,8384
333,7961,14573,13483,18708,14893,14032,5516,16657,6436,3841,18988
334,2776,15011,3294,10048,18574,14558,2911,13814,1197,11828,5985
335,4400,19823,10766,6566,17280,6703,2385,11024,14937,8877,11315
336,17263,19373,9326,11639,3479,18170,16920,3962,18918,5634,16654
337,3477,11767,8780,17813,13729,6609,5057,6151,17283,17237,2975
338,12377,3005,1808,11872,11104,16982,12558,10375,10851,1707,6396
339,16283,12595,7547,13417,18349,998,5046,13991,12444,11775,17428
340,9923,4946,3386,3005,4898,2668,6002,17360,15881,10180,15978
341,8322,19198,1674,617,5722,19998,14904,17021,19703,6587,12417
342,4182,13065,16590,6875,9079,7043,7372,14779,3726,15096,4396
343,18512,14269,2128,4950,6262,6080,6622,3353,13199,8609,7513
344,910,16908,8489,16199,8708,9578,4433,12587,19584,16463,7691
345,10431,6772,16976,4228,15037,8260,3534,5596,19025,6214,1762
346,2746,4514,7819,4021,6478,2264,16920,18917,17004,6436,14226
347,4741,8509,2482,16177,9839,18039,12629,19638,8226,12836,11333
348,9399,4256,3815,19088,2065,17240,11598,13087,1891,2433,6583
349,11810,6088,16651,2186,179,1763,8223,18556,19818,12719,13027
350,13997,19258,19501,2633,11803,5279,17910,19265,2413,6336,8541
351,5371,15702,3317,14095,8207,3907,581,8673,19683,6068,15559
352,15550,13066,749,13156,15317,11091,18166,6235,9321,9060,2681
353,18048,19534,5159,16523,8302,9217,2420,13985,1108,15455,14463
354,13722,7313,4787,11093,13357,18785,11053,19246,16094,785,3646
355,2631,11945,3648,773,9955,209,10671,19741,13789,2077,423
356,1233,5760,9914,1326,13906,117,19563,11695,15890,15446,12623
357,6036,6494,7885,3169,7637,14013,14362,732,8030,17489,11409
358,16058,2942,3633,19869,5192,427,5822,17962,16371,13982,2086
359,18301,7973,10853,8497,5318,6216,17132,8806,18891,6674,2258
360,850,17519,3615,12713,14517,10434,1136,1256,5452,3804,18773
361,16717,6992,16965,15159,15510,16925,7370,2804,4505,10706,1797
362,3168,3682,12259,973,15602,13357,15747,16367,16281,13951,2217
363,12947,16760,7203,8833,2224,10431,1897,18937,1420,18433,18777
364,7116,3179,15704,18689,19536,18252,13549,12731,3269,3201,18071
365,11497,13585,8532,2284,8185,4903,2791,1394,2559,12818,7184
366,2666,18690,8678,18985,10145,2010,12656,11096,13714,1191,13990
367,4096,13478,16248,5607,5787,11233,16494,3352,16970,11600,9116
368,19019,11173,13151,9924,1978,15153,12364,4694,11780,9810,7325
369,19584,1412,1083,13886,8307,14842,17582,12719,19318,780,17578
370,312,8011,1762,9644,14174,397,14548,6197,2434,17806,13978
371,523,2416,2827,13224,1351,14299,7725,11487,1096,7093,3347
372,15866,9510,1202,6421,3254,10876,551,2542,10977,16731,7696
373,10815,7003,11929,17802,5767,10717,18806,13457,19119,1550,15458
374,8846,11777,17860,10402,3470,11872,5290,17630,5268,6498,3378
375,1369,12937,16681,12129,10301,4052,157,15122,18718,17674,3890
376,5842,13339,14499,809,18906,12924,8311,10471,12894,5601,8847
377,8304,907,9395,13770,3163,16736,4714,11320,18714,16919,3090
378,8807,8871,14285,5104,1532,10178,18175,3209,1401,18946,3225
379,19273,3720,17284,370,14839,10902,8062,1043,11086,10401,18439
380,11164,8695,15426,5638,7078,12260,1678,12050,18918,2435,11431
381,13068,12312,19942,17967,8501,17732,9945,146,6329,12101,19791
382,16473,6888,15225,16128,18833,9753,15811,15088,2612,5485,8295
383,7215,19202,16522,2470,11650,9316,9344,17022,7454,9892,4136
384,4368,9788,6681,8580,3819,11307,6717,18148,9374,2728,12454
385,16533,11290,5683,10297,19869,5307,15921,19344,5864,17829,16936
386,15578,11791,14053,3925,10465,12325,2283,5447,18270,19150,11821
387,19214,2362,3689,1058,447,19546,19313,19288,11848,3126,694
388,2977,1576,6173,18032,4751,2397,2682,15832,14507,15214,5978
389,5098,9862,19229,11841,7073,1062,9431,13962,11266,14831,10655
390,14231,15580,15124,10984,15578,2659,4404,9195,19320,17665,10597
391,6336,15390,11938,11145,2295,16254,11503,3507,17532,14796,9195
392,5992,7628,12894,5925,13396,12472,11814,13192,19401,19442,18168
393,5411,1318,13564,1132,19298,15005,13740,7461,8898,13126,345
394,10329,18905,6774,16397,5851,12631,19786,12266,3155,15077,16952
395,6429,5495,4877,7624,18272,8889,9955,8262,7448,15144,12524
396,6538,8396,13426,4594,19203,8340,6754,3778,17468,5404,16362
397,6640,8221,18668,13916,10629,13357,18432,19396,14182,9824,10719
398,6310,2394,11901,3386,19637,16393,216,6388,17344,16400,18339
399,4603,18806,10939,8220,11137,12630,498,8817,10556,9314,16349
400,8254,9540,19620,1422,769,13459,5656,14213,3952,5598,11404
401,19213,10252,6525,6318,5022,14193,2331,10945,1266,6838,7294
402,7857,1173,1606,17381,6744,19372,410,474,12751,17399,3660
