"position","sim_001","sim_002","sim_003","sim_004","sim_005","sim_006","sim_007","sim_008","sim_009","sim_010","sim_011","sim_012","sim_013","sim_014","sim_015","sim_016","sim_017","sim_018","sim_019","sim_020"
48,17747,2103,16146,1918,7586,13841,2657,15254,9878,14174,17146,18834,3068,19774,10573,14829,18145,8434,2235,17083
49,8810,17287,17061,13268,1166,14122,8751,4452,6636,7425,4294,5818,5586,8237,17782,15494,17007,3175,12692,14402
50,19211,3951,2283,4237,8183,14894,4356,8690,17585,15975,4425,2223,19730,13067,17777,5147,2217,10344,15556,15126
51,7054,10222,10427,5722,19661,4847,4752,16373,15688,15272,329,6026,3359,1233,14162,16961,6297,1782,6180,7322
52,212,14090,5836,14436,10091,15924,14476,9903,12386,14283,12322,16590,1275,3411,10806,11713,15887,19454,17902,8974
53,18316,14053,7566,11123,14551,10162,12987,895,2095,2143,7730,6593,314,10561,18274,6210,18738,1368,17593,12737
54,324,9594,13847,17461,11633,19792,5314,9876,11473,2518,12080,16248,10257,6210,5964,17042,1088,17533,6777,13994
55,1766,15357,11580,18584,4901,9887,6738,13952,4308,13119,15275,6280,16739,18584,1057,12751,4486,653,14949,7095
56,4871,6390,9987,14173,2876,7770,18532,13763,14516,2412,3138,8970,6935,723,11190,11785,19130,9868,18522,8265
57,8671,15988,18599,6667,7509,9205,13642,14003,12943,17742,17523,4151,13806,12625,7578,9672,7800,16049,18022,4818
58,5599,260,2237,5148,4909,15998,9510,4736,14069,13851,11737,17804,11284,6190,1224,19299,7401,18836,1371,15705
59,17044,6970,9285,18375,7156,10570,19610,13558,14417,19158,17582,10992,2381,14435,5487,19222,19166,10467,15558,11365
60,17391,19660,15054,11332,9739,8488,6667,9663,7189,14919,10180,1048,756,1036,14358,16083,5459,17290,13329,568
61,19142,15479,17057,2294,18513,8586,15590,5748,2656,8678,5063,5730,15723,18390,5684,9995,17257,318,16198,17682
62,18973,18718,13480,8429,12091,16471,2805,16839,13064,6369,3137,11731,18801,6027,9516,8321,7898,295,12634,9096
63,6583,18797,18407,2935,16439,8274,1190,9692,2025,1693,10301,17570,5930,11632,8264,1665,3267,7051,2692,5369
64,18239,13856,19674,8645,6597,16440,482,3354,7487,19461,14955,7075,19940,10307,2142,1980,14111,17952,8398,19630
65,7898,4605,17332,11386,17331,7561,13267,9636,17047,6071,726,187,8377,15925,7380,18463,15978,7879,14981,3396
66,4874,9828,4352,17918,9839,14977,8897,3074,15246,13535,19634,17123,11718,8653,9340,1391,1336,8971,3368,11347
67,15318,7256,6408,8619,6795,10079,12663,8912,8424,6145,1911,3860,3853,4650,10235,14202,6545,18247,3844,12652
68,5600,17113,17882,7239,12316,14371,17825,13302,17235,12020,3390,11470,19205,19352,733,2599,14016,4455,6830,12081
69,16466,8104,19612,1602,13373,5298,19150,19937,7445,5250,13774,10080,7742,8913,8878,5262,15116,19592,9818,12972
70,10837,5467,9450,15509,6898,5756,16580,1232,14124,15940,17657,1074,6934,6957,14872,8818,17204,13114,631,10764
71,9568,14876,10430,4011,1785,3938,5137,4514,14363,19538,14290,17754,13471,17164,172,9360,998,5879,5164,714
72,4987,3920,16766,17132,9945,5126,1210,16792,13660,8347,18778,1402,7116,7172,8780,19689,3557,6119,18308,18170
73,2078,11937,17954,11362,16506,13910,16435,2407,18096,13599,18898,16699,7408,6480,3233,2840,16069,10790,14547,8998
74,1700,995,12189,13971,482,4045,11308,7372,16312,3670,17911,5873,10315,1880,1223,673,4523,8485,6614,566
75,15342,18004,12780,17205,3467,586,15394,8890,9196,13145,3891,10856,14328,3587,11418,1668,16143,5699,113,12337
76,11620,18729,9589,13171,10924,5372,4890,7099,8034,15679,17340,17768,17408,19231,7630,18438,18709,17426,10963,18612
77,6718,14279,12705,12510,16339,17346,2572,15625,18820,2653,1717,19041,2418,15897,8211,9321,14730,12940,281,15471
78,5947,16016,17201,12219,12866,1683,17402,9051,18815,15703,14982,10551,19513,3875,19302,9702,1163,5802,2564,17236
79,4486,2396,7842,1834,14564,13192,1975,4265,12830,16158,14272,3115,15843,16689,17525,2854,15201,1692,15542,2811
80,11620,542,11597,17593,19516,7432,7279,1668,4653,1828,14061,10961,524,2704,10823,9115,12565,14046,11147,4316
81,2653,18114,10758,5912,19832,6423,19998,12156,13849,7334,3585,7627,12871,16417,17596,8721,7207,16431,14532,774
82,9192,19077,11316,13973,2187,7473,1640,5416,8292,2772,13960,7189,2264,7871,6991,19388,16349,14858,3278,10392
83,12296,6284,13221,964,2018,17535,7072,18399,5198,4003,19802,13653,7279,12466,5529,7325,9760,6091,846,12689
84,11180,18592,2660,15382,8437,16534,17378,14439,6223,842,8855,14617,12949,8771,1325,4926,2081,8621,1120,5988
85,16722,13014,3844,7829,4652,5452,11132,9710,16151,8304,11488,19809,2643,1984,6784,11114,4176,19046,17948,15803
86,549,12278,7304,15725,538,264,12493,15343,5631,16431,16210,1485,5559,11436,7953,9935,10609,17888,17610,14227
87,18966,12831,142,15676,5511,9446,1439,9335,15954,18223,13635,15850,5222,15459,8453,10870,7884,15288,4706,12753
88,14134,4830,18195,7195,19561,13430,3582,4867,2179,6096,12510,12547,11469,13412,10805,7553,19367,17914,15849,1101
89,15450,3697,19441,17099,16706,5556,2132,19772,4964,2003,10267,12623,2219,14974,6479,1195,2653,2564,1512,10976
90,5330,17957,16736,15569,19083,4838,3185,13096,4613,1305,11687,14130,17252,13103,11787,19098,15830,2046,4683,15896
91,11151,7290,5979,1941,8776,16925,16464,18562,19603,1495,13837,1994,104,17828,14654,14826,10767,312,8741,10079
92,684,13446,15391,11049,7319,18322,879,2013,5983,6990,5402,9654,7580,3708,10434,13292,15661,6425,8801,12523
93,13672,725,5681,1424,13657,19557,188,1658,3406,17743,13015,9900,13066,3976,12659,13445,8252,194,11482,10567
94,17487,17087,11320,9049,11791,17213,6171,19428,6734,5901,9551,7925,3659,17946,3874,2010,15295,9864,11215,15986
95,387,19416,3398,15327,12375,6895,4381,2036,14290,5099,1574,4199,11070,4571,18660,16312,17635,19092,10954,10890
96,1654,5433,8320,10809,17324,4498,12449,5314,13352,3711,5929,12607,5800,1669,4668,9791,12284,6209,15076,18172
97,11209,11120,1276,19837,6047,4934,14249,1332,1077,17685,16998,3530,10276,8285,18384,7374,18265,17198,15815,11284
98,6209,1649,5242,12122,14128,2549,11818,4146,13172,813,9145,3138,15815,2199,6806,9207,4518,18273,17120,18675
99,13009,16288,2872,12303,4058,8038,15610,13160,9745,9299,14666,6812,5478,8195,2614,10371,13611,16214,10662,7651
100,9293,15561,19592,7876,6141,19448,10458,19488,5045,577,5653,18649,1389,19682,16661,9911,8346,7261,3349,1528
101,1012,9822,7599,9839,10127,9302,13727,13698,3090,8373,9334,13706,6468,7992,313,13016,1036,293,3348,18478
102,12381,1025,10124,3974,14669,5927,4257,226,9096,14711,6916,16614,7452,507,2637,6994,13422,18354,11957,6458
103,2721,17354,10865,801,4525,16514,1148,8844,16697,12359,3543,9828,5847,15903,8287,7884,19252,13277,15466,8216
104,1926,480,13788,7051,14504,11952,13487,11960,14143,8603,19853,16781,9833,7365,2227,7229,14179,12679,5828,3404
105,11167,16066,19776,11451,18195,9357,12993,13383,10502,13333,9429,454,10776,1347,1828,9101,11854,17048,10082,12880
106,10082,6053,9056,17872,8389,3299,14926,14242,9169,13878,18275,5823,14538,5381,11227,3457,2650,8496,17817,16019
107,3338,9030,16097,14026,17299,7860,14266,19314,9915,12039,13411,14237,643,5415,10385,267,19602,15482,18729,7274
108,2487,16953,7824,6637,11371,2486,6801,14673,15452,6268,9319,4444,12926,19229,11794,10714,11298,13304,8282,5211
109,1703,828,7119,8745,18354,19863,3650,13071,19600,12961,16391,566,2534,8958,5132,10583,5301,10524,8264,1998
110,5148,12122,18645,5284,1383,7530,3200,16645,9550,6021,13255,10615,1118,214,19767,8361,17460,18822,6436,12907
111,13261,5555,7838,19077,11594,14559,7027,9363,14937,13961,18701,19416,4312,13938,9278,16010,3022,17684,16503,12596
112,792,13604,18443,13317,17660,4347,5113,1036,17932,471,576,13014,17367,15999,16521,13271,171,13931,8882,808
113,1700,19338,3455,8434,4406,9164,16416,2403,13112,12056,2807,9022,18712,11521,17866,11985,11553,9001,3558,2047
114,18074,11901,13304,7279,7942,13396,10298,14467,12707,3486,18235,10683,1568,15301,15016,7839,2895,3653,6191,17942
115,16410,18725,3132,8273,17813,11034,11185,18975,6590,18012,1308,10435,12178,6992,11948,19570,2038,7998,6355,18819
116,6163,8357,10720,19144,6530,16835,2467,10704,7227,11405,9252,14765,17110,9512,17558,7220,18969,8951,2831,7417
117,8579,5828,10477,17794,3123,175,2290,18457,8193,10457,6581,2562,6399,15557,2116,6198,3254,4753,2118,15437
118,19633,9952,8983,13552,17942,15775,3080,4205,17506,17172,4974,14163,7706,15741,3968,14492,11757,4781,6786,15827
119,15340,13009,9819,15904,13139,11803,15503,10088,6226,13327,3376,15331,11157,2559,13684,19745,19338,19188,10863,15269
120,18383,6838,17829,10037,4967,10945,2945,3655,16642,3511,10544,6316,11062,2145,4829,216,5154,8356,19956,6280
121,18100,17148,2368,11038,5953,1475,8123,5078,6234,9136,15774,19300,19269,11943,14295,14496,12947,4929,18688,9200
122,14695,11793,1798,15401,6225,8816,9701,1932,13374,11063,18995,11688,4155,7499,15361,14065,14905,3837,838,12567
123,13161,10901,775,15042,14425,6977,18029,8958,650,5089,9909,17808,9764,19344,12966,6237,4012,12907,12520,13571
124,7939,8084,11126,15764,11622,18699,13316,7035,1235,1210,17210,7397,7941,17541,2592,6316,19761,149,10234,10008
125,4238,11319,1166,6576,14571,4725,5620,4850,19336,19996,8572,7409,14836,6671,10076,16519,17277,17133,10124,14379
126,3293,9252,6348,15759,18751,7246,14299,13557,966,11031,16331,11373,9412,8071,5452,16234,2058,13063,11877,4726
127,17595,1942,786,6905,1639,17415,13144,17338,8477,1877,12414,17121,14527,11145,769,5248,15282,5393,7853,13699
128,13109,10596,13037,7635,3367,11699,12756,2693,17596,16726,11885,11659,9209,16612,12937,8215,5583,3850,13135,19803
129,5970,11779,8379,1788,6923,252,8384,7266,4293,14942,19526,15755,5861,7780,12085,9692,7899,16286,15852,2528
130,14716,18667,14866,13171,1980,15248,16328,10950,17068,1252,12979,2052,8449,6099,665,1006,10063,13530,19072,11567
131,14641,7661,8736,11181,17701,10025,12165,3793,11592,829,312,11271,7466,8914,6336,17828,17491,10989,12758,13314
132,10352,298,7044,15287,13627,8476,17470,16539,3708,13276,7423,9978,19399,18898,1188,6692,14477,6135,14135,7006
133,15442,13557,16063,7864,8467,1399,5700,13205,7153,2493,19482,14038,12751,7335,2841,17033,1507,3850,4450,13816
134,19308,15900,3795,5310,3430,6407,12061,5848,7535,19232,3285,13862,8260,6197,11997,5239,17757,15568,10299,15380
135,12195,10835,18516,10248,12119,15672,14708,4121,11410,14173,6911,469,16526,11554,9043,10743,3051,12154,13180,1511
136,9704,17333,9865,2883,10196,1298,14002,14927,12723,8978,4873,18901,1475,4125,5169,9218,3428,14321,131,5479
137,19366,1120,1442,12411,10874,3201,2014,2749,5648,177,4923,4556,13850,1389,17250,5376,4321,10147,11806,14539
138,15885,9238,15118,8570,12839,7677,4928,834,15220,8633,10468,18675,4566,787,10079,11762,2752,15987,17231,8651
139,12515,14291,3955,3870,12143,13570,11000,4787,2395,15732,6536,9646,3766,3865,9411,11871,4455,6113,11054,11864
140,11628,3483,7580,10478,11247,774,17801,252,19642,5600,8399,7675,7291,10525,15857,12622,9108,16896,9166,7711
141,3008,16881,10220,10388,16393,11131,10631,6777,17823,4139,2573,19582,18409,15497,671,7847,15479,17763,13248,18508
142,9905,4314,2572,15606,17457,13042,11742,19910,14352,9702,9612,15443,10700,15955,17627,10873,18047,7514,6228,14275
143,6452,13575,19939,17798,3474,7123,15843,3991,10972,13442,2718,6329,12155,419,6453,2166,15895,333,18999,15973
144,3946,17794,7440,2165,15483,7396,9185,18177,17143,15488,17998,5518,1088,10204,18952,15806,13586,10208,17053,18209
145,18975,13307,7343,12039,2981,3342,1473,14328,1439,1713,19296,9324,14482,4153,12440,10225,18337,7669,5692,5054
146,2781,220,4737,8177,15563,7465,17653,16881,6128,1569,19816,18652,3833,14252,7142,19422,2400,10650,1435,3039
147,5007,8766,2452,16261,6282,12041,13117,5331,14036,3220,11101,17630,18974,13592,1790,14074,6232,13209,17939,3299
148,15392,8309,13748,3030,18708,2881,17936,10311,3187,15019,4434,3530,11977,9531,10278,2520,3164,14294,7934,1476
149,10997,19211,16720,13885,12479,9112,13471,9986,4134,8512,8008,12944,15941,15340,10835,576,18639,7055,6925,3433
150,13622,12282,11876,7542,14109,15184,4531,7387,13487,14878,6566,3131,13631,8355,3181,11135,18234,2599,8173,8007
151,9458,16131,12931,13947,13299,8096,18448,10185,14645,7568,1583,15797,18410,16818,4284,7928,3187,511,6159,14938
152,15347,13368,5670,6605,1311,14632,134,18368,7508,4008,2734,8676,10860,19655,823,11361,19608,1736,9678,17505
153,8224,9422,13945,12211,19300,10938,6633,5024,15429,12759,8893,3053,2832,4428,14765,3000,6162,18282,12586,5688
154,2389,8789,13201,2082,18449,15076,15641,15557,14993,5169,8057,3881,7563,14166,8008,6979,18108,1259,15470,1647
155,13895,5800,13634,523,11665,15866,1957,4936,3234,19079,8943,4189,14575,13260,12069,17190,2535,8048,17865,5169
156,15865,14490,11187,354,5137,5041,5584,16934,8737,17303,13134,16412,12238,18670,18510,7206,937,908,12411,8166
157,4661,6928,12769,9636,7506,2034,16579,10743,13087,6516,10995,9147,19539,9654,7250,3578,6633,427,19270,14295
158,4229,919,7211,6607,13572,630,19749,6379,4701,4075,10214,10120,14080,5133,5915,17719,5526,1950,3883,13359
159,17997,15402,5328,7611,3020,8658,5315,5125,8758,19226,5130,15489,17837,12917,4220,17438,1663,15784,15106,18479
160,13118,11964,18359,1556,2742,16053,14154,12158,13018,13903,17308,3064,8195,7302,11588,6980,8674,4638,8123,12223
161,12666,354,19141,565,2939,11641,11550,19544,4372,10408,8334,14310,18747,6899,14280,1543,848,13982,1525,16418
162,1538,10239,14940,2448,12317,15955,14682,5267,9348,18007,4852,5915,7338,5800,15105,113,12724,13166,6991,18697
163,2328,15290,8965,16663,13428,2134,17473,8928,15271,9635,13281,7185,12701,19264,14610,17872,19022,13455,9164,15745
164,15915,5959,8185,3264,9550,1017,15077,2322,15302,2873,5043,10744,12794,9157,4639,15528,4052,7154,17242,11962
165,16842,11287,7960,11849,742,3671,1412,2623,11113,2313,4406,17070,18880,6603,19801,15641,9024,14161,14724,1581
166,14229,16674,19399,1852,4275,2492,9203,13212,1072,14931,17166,8776,7544,12464,4009,18384,15724,1972,9872,8215
167,5751,19019,6139,15327,19854,10608,11468,18388,8306,6039,19746,6462,3178,232,6706,19183,15986,622,1269,7705
168,17899,18401,1038,16956,18932,7969,17042,17103,16404,6698,11775,1541,18995,8685,11852,12430,13276,6417,3502,4453
169,7247,10020,13405,3784,4431,7188,1655,19369,12563,11838,19762,3171,7921,18209,4608,17119,2556,18685,3599,16067
170,10377,1078,18569,6658,12098,3580,9321,7791,3111,7550,10371,11608,5206,7605,17791,18710,7588,14005,3784,19918
171,8707,9122,3663,3731,19301,11854,18174,4385,13610,16054,3702,1353,12192,5180,6206,17571,11285,4446,188,1621
172,8770,2136,11708,13063,14743,10880,13852,3301,18693,9574,8754,2055,2677,12941,18798,9230,11709,7565,14484,18796
173,9602,2091,5164,7543,6842,11686,8370,12901,19709,15230,16226,11246,15832,11523,12674,3809,5723,10138,17623,9525
174,3938,2204,6534,16529,13967,6678,15865,16177,5328,6341,10732,13576,19428,6496,6061,17073,9518,12410,7977,12337
175,6090,1065,5179,15453,15099,9156,3830,3890,10733,15021,12622,8456,7311,1897,12968,18767,11896,18033,5999,1970
176,10558,8773,442,5577,17756,8208,15979,13988,8910,13154,11156,18766,8989,14216,9467,18131,18932,7005,6648,11503
177,261,684,13132,6305,16897,3237,5805,15535,15931,1679,4586,7418,14944,14358,13626,14144,14566,1156,2841,2872
178,17225,19656,5051,6831,7848,13039,9988,18320,5772,9841,15828,1240,9553,18889,9231,5035,18436,8902,7551,12023
179,12559,14201,5740,13471,3644,17863,7921,1973,461,19529,13834,3312,14733,7751,10224,11418,4975,5044,4427,690
180,9424,15550,9392,9558,11558,17649,8996,503,13767,10166,6821,9364,3351,16836,3831,10482,3109,4398,18795,1129
181,14504,17149,4534,19934,4721,19201,15955,9829,10525,10514,9741,2853,7321,8981,5274,16417,6668,19551,16793,15683
182,19943,15804,17934,11424,3990,14802,2385,2383,1737,19006,1841,19329,13853,9564,15223,16209,18663,1339,6935,3376
183,7103,5161,5424,3926,4691,16631,6172,17664,19931,12137,6377,15921,1639,16583,13234,1640,158,17332,7396,8943
184,10135,2272,5467,16132,3843,5968,5132,8389,12443,2765,14211,3870,8077,2360,12947,8447,4687,12128,1755,12358
185,7958,386,11623,16076,13779,6243,17211,11307,906,15588,16376,9596,19321,9199,6956,14700,17812,488,5007,16614
186,2747,5668,9022,11107,1971,2381,7352,17557,16144,19896,6685,1681,8715,4529,3922,6841,6703,17468,15236,8156
187,12871,17546,18272,12607,12464,5732,3607,15180,12476,14084,4308,18956,17352,13504,19427,12960,16884,18621,12612,2189
188,4274,6629,6826,2421,18938,5564,8431,7230,1133,16155,2729,12016,2610,19052,1159,2868,15489,6056,16915,10763
189,16203,17717,15285,13336,1998,5092,17047,10431,12536,1794,15480,2361,9557,12727,5871,15863,10208,13904,8781,5613
190,4729,540,12029,9644,11222,15140,3327,5100,17191,17864,14623,8610,7839,16692,1936,13637,2435,13246,11563,2000
191,6094,2937,8902,9927,12123,10011,8374,1760,19003,7837,10254,4831,17446,9364,10843,11219,5221,18905,6786,15758
192,15241,9677,15051,623,8691,16855,13003,16833,14193,12435,18929,17181,18213,15249,6201,16267,5523,3196,6064,9268
193,8625,8440,9290,5600,18929,13621,9048,3192,2211,12288,9373,16473,18467,2737,4939,16585,12199,4723,15465,12356
194,19140,7698,9400,15479,6037,13825,4348,7060,421,9716,9458,14872,9014,1332,10615,15097,15184,10204,17256,16794
195,15741,1835,377,7867,2842,15285,11092,3025,13157,13892,19948,1669,12797,18751,15752,12005,17556,14280,10682,12145
196,14669,11956,11357,6736,8366,288,18984,11910,7285,17014,18334,9904,15085,19052,11283,1374,8100,14894,19220,18886
197,7309,4875,9162,10525,11663,721,12647,15042,2291,13864,5039,1090,2051,10527,11541,1149,3235,1285,4237,2357
198,11441,19557,8968,6195,9291,18779,1734,6055,14843,7458,19448,14401,7406,9425,5046,3153,10893,19198,10072,10495
199,13828,17861,19519,11850,1571,12959,7065,3004,10987,14196,5570,3174,17468,15642,2092,7435,3396,18646,13651,2750
200,9177,12086,6043,12728,15520,5576,7916,5869,11541,2700,6078,18846,16428,1134,11216,18462,2553,19416,12234,18736
201,5112,15700,18389,3994,14384,3873,8618,15048,14510,18465,7388,8171,1221,12133,3694,11698,10341,11267,13095,18645
202,955,8387,17006,9748,14296,6436,17247,4692,9658,9937,3084,7573,7011,19576,4289,18208,19259,10427,17752,1512
203,11869,10813,18649,5591,7995,3323,13089,19225,4863,1207,1033,8706,13854,10971,15995,6641,16694,15327,17584,7020
204,10359,5567,12143,13435,13283,6591,9246,1212,761,15426,10818,3366,7510,2379,19991,5439,14971,14809,16173,2846
205,9309,1354,14499,3512,18900,1942,19081,16662,17043,13463,14573,16831,17322,13156,13622,15778,2598,10851,10074,10059
206,14217,5196,7434,2785,14077,3415,1565,3332,8687,1929,2392,5289,12050,2443,14513,15942,5125,19359,11228,14652
207,17095,697,16254,9851,18126,406,6224,18337,19767,16209,16816,3849,15801,14051,2179,9954,278,15486,14558,9395
208,2336,17929,17751,3090,4679,17714,16127,10823,11909,3796,16245,11691,10408,9262,16530,17242,6827,16310,8258,10926
209,17441,2487,14102,6689,12164,10019,597,3812,18742,13784,15871,9469,8455,2096,12336,15686,2783,4084,13782,10284
210,16504,10959,5252,3557,8811,13221,13773,4685,11403,5882,17896,12115,11596,13267,15689,10168,446,3132,14942,11945
211,3718,18286,12294,16218,4183,17741,6858,11065,14460,15365,11788,17985,8477,5604,10249,12789,10275,14375,13733,7382
212,1930,8478,17482,17971,13927,729,9726,1331,7885,9522,19316,2138,7294,4237,8534,1867,13061,6621,9682,15965
213,1178,8268,7086,186,17622,16467,13126,8736,6370,8250,10281,3800,11643,12327,6596,19761,6536,17099,14229,10194
214,3364,6506,13972,18272,3318,436,1479,11095,13018,9590,16336,10548,8917,7881,14934,5650,8404,4534,12991,9537
215,2579,5978,15027,13825,17199,8606,2957,7171,2829,18504,11858,16886,8424,10594,10245,12428,1336,13571,14423,19306
216,17420,18098,18657,19338,11081,14521,5557,1635,14193,18989,12514,8665,13417,5381,9410,12674,5796,14238,13803,12508
217,10310,6216,8027,14891,12909,1886,10511,13118,11182,10713,6072,2373,2149,11605,12464,17949,5796,1369,8579,8235
218,19637,9267,2876,1317,245,19965,15295,3783,6671,6089,16219,15621,1722,11499,6839,19837,7442,18269,6049,2861
219,3701,6305,10056,13858,12252,18581,17060,6739,12952,15560,9829,688,2009,16804,10073,3482,10504,5923,2723,8809
220,17931,6062,19656,16292,2176,13815,3673,11096,15096,18960,16815,4007,10333,12588,9799,10032,16885,12134,19377,9793
221,2118,8286,10814,7289,9293,4196,19150,744,12145,10034,13500,11946,1293,18321,11755,16164,17824,17871,18607,10068
222,1903,9228,15146,12155,19335,2174,2419,1964,11038,7424,5193,18983,18577,7998,8138,4088,3421,10060,10700,13157
223,11605,11091,18831,5144,4732,3360,13315,4288,19340,3100,9347,19780,14683,18937,14584,8473,587,660,15040,11220
224,7779,13000,7077,6858,8470,9136,5431,12859,3234,8000,4959,15530,176,15185,16761,2529,3317,14327,17368,17738
225,19588,18246,2711,11959,13162,10966,11676,11354,17423,5946,10718,1159,4151,13195,8123,19299,3819,9911,5950,19351
