S1   S2   S3   S4   S5   S6   S7   S8   S9
0-0-20-0   0-0-168-0   0-0-311-0   0-0-20-0   0-0-349-0   0-1-15-0   0-0-396-0   0-0-107-0   0-0-545-0
0-23-0-1   0-219-0-0   0-387-0-0   0-23-0-0   0-452-0-0   0-17-0-0   0-532-0-0   0-135-0-0   0-797-0-0
0-0-28-0   0-0-216-0   0-0-391-0   1-0-24-0   0-0-426-0   0-0-13-0   0-0-515-0   0-0-145-0   0-0-822-0
22-0-0-0   218-0-0-0   409-0-0-0   23-0-1-0   447-0-0-0   19-0-0-0   502-0-0-0   149-0-0-0   592-0-0-0
0-1-25-0   0-0-261-0   0-0-467-0   0-0-24-0   0-0-506-0   0-0-23-0   0-0-583-0   0-0-170-0   0-0-708-0
1-0-0-28   0-0-0-268   0-0-0-490   0-0-0-24   0-0-0-527   0-0-0-24   0-0-0-617   0-0-0-173   0-0-0-753
34-0-0-0   370-0-0-0   626-0-0-0   28-0-0-1   679-0-0-0   36-0-0-0   868-0-0-0   226-0-0-0   1150-0-0-0
28-0-0-1   293-0-0-0   542-0-0-0   20-0-0-0   548-0-0-0   36-0-0-0   789-0-0-0   190-0-0-0   872-0-0-0
25-0-1-0   243-0-0-0   481-0-0-0   16-0-0-0   485-0-0-0   27-0-0-0   697-0-0-0   163-0-0-0   733-0-0-0
27-0-0-0   234-0-0-0   468-0-0-0   15-0-0-1   468-0-0-0   25-0-0-0   694-0-0-0   162-0-0-0   742-0-0-0
0-0-0-44   0-0-0-314   0-0-0-586   1-0-0-28   0-0-0-730   0-0-0-40   0-0-0-1023   0-0-0-220   0-0-0-883
53-0-0-0   389-0-0-0   731-0-0-0   31-0-1-0   987-0-0-0   45-0-0-0   1401-0-0-0   279-0-0-0   1065-0-0-0
57-0-0-0   446-0-0-0   786-0-0-0   37-0-0-2   1037-0-0-0   44-0-0-0   1407-0-0-0   315-0-0-0   1382-0-0-0
0-76-0-5   0-619-0-30   0-935-0-59   0-62-0-0   0-1147-0-70   0-63-0-4   0-1657-0-91   0-416-0-0   0-1989-0-0
0-0-2-54   0-0-0-526   0-0-0-906   0-0-0-56   0-0-0-911   0-0-0-48   0-0-0-1362   0-0-0-373   0-0-0-1535
0-58-0-0   0-742-0-0   0-1065-0-0   0-61-0-2   0-1133-0-0   0-49-0-0   0-1710-0-0   0-520-0-0   0-2668-0-0
0-82-0-3   0-492-0-0   0-893-0-0   0-52-0-0   0-1241-0-0   0-64-0-0   0-1486-0-0   0-363-0-0   0-1310-0-0
0-40-0-0   0-694-0-0   0-1246-0-0   0-68-0-0   0-900-0-28   0-47-0-0   0-1507-0-0   0-458-0-0   0-1682-0-0
29-0-0-0   402-0-0-0   785-0-0-0   57-0-0-0   615-0-0-0   30-0-1-0   820-0-0-0   265-0-0-0   964-0-0-0
1-0-0-29   0-0-0-416   0-0-0-782   0-0-0-58   0-0-0-606   0-0-0-31   0-0-0-825   0-0-0-263   0-0-0-968
0-27-0-0   0-414-0-0   0-766-0-0   0-52-0-0   0-613-0-0   2-30-0-0   0-816-0-0   0-253-0-0   0-951-0-0
28-0-0-1   404-0-0-0   687-0-0-0   47-0-0-0   586-0-0-0   27-0-0-0   788-0-0-0   241-0-0-0   979-0-0-0
0-0-0-21   0-0-0-320   0-0-0-531   0-0-0-36   0-15-0-482   0-0-0-31   0-0-0-627   0-0-0-202   0-0-0-790
22-0-0-1   294-0-0-0   545-0-0-0   42-0-0-0   501-0-0-0   27-0-0-0   592-0-0-0   214-0-0-0   754-0-0-0
0-21-0-1   0-287-0-0   0-540-0-0   0-42-0-0   0-479-0-0   0-27-0-0   0-578-0-0   0-203-0-0   0-733-0-0
2-61-0-0   0-763-0-0   0-1043-0-0   0-73-0-0   0-1165-0-0   0-70-0-0   0-1712-0-0   0-493-0-0   0-2331-0-0
0-78-0-0   0-999-0-0   0-1324-0-0   0-97-0-0   0-1491-0-0   4-87-0-0   0-2313-0-0   0-650-0-0   0-3303-0-0
0-0-4-76   0-0-0-656   0-0-0-1362   0-0-0-72   0-0-0-1431   0-0-0-65   0-0-0-2214   0-0-0-439   0-0-0-1832
80-0-0-0   859-0-0-0   1425-0-0-0   64-0-0-3   1549-0-0-0   57-0-0-0   2374-0-0-0   569-0-0-0   2699-0-0-0
3-0-88-0   0-0-864-0   0-0-1335-0   0-0-83-0   0-0-1102-0   0-0-74-0   0-0-1834-0   0-0-596-0   201-0-2680-0
53-0-0-0   363-0-0-0   672-0-0-0   51-0-0-0   499-0-0-0   34-0-4-0   655-0-0-0   297-0-0-0   978-0-0-0
0-0-38-0   0-0-276-0   0-0-554-0   0-2-46-0   0-0-372-0   0-0-30-0   0-0-389-0   0-0-230-0   0-0-617-0
4-0-56-0   0-0-454-0   0-0-873-0   0-0-63-0   0-0-538-0   0-0-51-0   0-0-804-0   0-0-335-0   67-0-1005-0
58-0-2-0   806-0-0-0   1282-0-0-0   67-0-0-0   1015-0-0-0   57-0-0-0   1656-0-0-0   500-0-0-0   2154-0-0-0
59-0-0-0   443-0-0-0   913-0-0-0   50-0-0-0   950-0-0-0   42-2-0-0   1236-0-0-0   267-0-0-0   943-0-0-0
2-0-0-51   0-0-0-410   0-0-0-691   0-0-0-36   0-0-0-990   0-0-0-40   0-0-0-1138   0-0-0-224   0-0-0-1030
0-57-5-0   0-339-0-0   0-611-0-0   0-29-0-0   0-919-0-0   0-45-0-0   0-1065-38-0   0-222-0-0   0-1064-35-0
0-0-0-54   0-0-0-305   0-0-0-547   0-0-0-26   0-0-0-831   0-0-0-44   0-0-0-988   0-0-0-214   0-0-0-987
44-0-0-0   233-0-0-0   387-0-0-0   16-1-0-0   687-0-0-0   40-0-0-0   751-0-0-0   160-0-0-0   761-0-0-0
