"position","G_2035BALd7_S1-cons","G_2073BALd7_S0-cons","G_2078BALd7_S0-cons","G_2081BALd7_S4-cons","G_7960BALd7_S0-cons","G_7970BALd7_S7-cons","G_7971BALd7_S0-cons","G_7992BALd7_S0-cons","G_BRSVSweden620p4_S0-cons"
105,51,211,634,38,609,70,984,186,3355
106,51,210,645,39,613,70,993,189,3427
107,51,207,638,40,610,72,996,189,3435
108,51,214,649,42,620,74,1009,193,3494
109,52,218,664,42,629,74,1027,198,3577
110,52,219,674,41,632,75,1027,199,3627
111,51,214,668,39,626,75,1025,198,3580
112,51,214,670,39,624,75,1024,194,3589
113,51,210,660,39,610,75,1002,193,3545
114,51,210,665,39,611,75,997,192,3566
115,50,209,647,39,596,75,979,188,3496
116,49,207,641,39,595,74,971,186,3490
117,50,200,625,39,586,74,958,183,3473
118,48,196,619,38,570,74,940,177,3400
119,46,193,613,38,565,72,924,180,3397
120,46,193,600,38,559,73,925,177,3386
121,46,194,612,38,571,75,937,182,3449
122,47,196,613,38,565,75,938,179,3438
123,46,193,607,38,562,75,924,182,3414
124,45,189,607,38,553,73,907,181,3386
125,45,194,612,38,554,73,906,181,3413
126,46,195,613,38,558,74,917,181,3459
127,46,196,625,39,563,77,923,187,3492
128,47,199,630,40,570,78,940,187,3565
129,47,201,637,40,566,80,948,191,3604
130,46,199,636,38,561,79,932,188,3598
131,49,207,662,40,576,79,962,195,3773
132,49,208,663,40,577,79,966,195,3790
133,50,208,680,42,593,80,985,197,3903
134,50,205,670,42,588,80,982,194,3877
135,48,203,661,42,570,79,948,191,3821
136,47,196,658,42,563,79,934,191,3851
137,48,197,660,43,570,77,945,192,3930
138,48,192,647,42,565,78,923,193,3881
139,50,201,657,42,574,79,940,204,3998
140,49,197,655,41,556,77,901,199,3883
141,49,199,655,41,561,76,908,202,3925
142,49,196,654,39,550,74,889,200,3876
143,48,207,691,43,568,78,936,214,4193
144,48,206,692,43,563,78,937,216,4200
145,53,220,739,43,596,81,1014,227,4628
146,52,213,726,41,574,81,996,225,4559
147,51,231,752,41,590,82,1024,230,4818
148,51,226,746,41,575,82,1006,228,4786
149,51,230,743,41,579,82,1007,230,4803
150,50,232,758,43,582,83,1017,231,4952
151,51,234,756,43,585,83,1019,230,4956
152,52,238,748,41,577,82,992,229,4979
153,53,245,759,42,580,83,1006,232,5070
154,53,244,752,41,564,80,987,231,5069
155,53,248,757,41,578,81,1001,237,5173
156,53,242,755,41,569,80,987,236,5175
157,53,239,755,41,568,81,985,236,5173
158,53,240,757,41,569,81,985,237,5191
159,53,240,754,39,567,82,989,234,5175
160,54,266,797,44,595,86,1060,257,5798
161,53,271,806,45,596,87,1062,259,5915
162,55,273,832,44,608,90,1108,262,6303
163,56,272,834,44,614,90,1115,263,6299
164,56,272,829,44,611,90,1112,265,6266
165,59,296,883,44,644,97,1170,291,6796
166,58,298,899,44,655,96,1204,300,7054
167,68,341,996,47,706,106,1346,340,8233
168,72,361,1074,51,759,118,1455,364,9082
169,72,362,1088,50,774,120,1473,368,9191
170,76,377,1148,51,826,123,1573,392,9855
171,78,376,1142,51,827,121,1582,393,9875
172,80,389,1174,50,840,124,1617,396,10172
173,81,390,1173,51,841,124,1615,399,10180
174,79,387,1166,51,831,124,1604,400,10141
175,81,397,1185,54,850,126,1623,404,10464
176,78,392,1162,54,825,123,1579,399,10363
177,78,388,1168,54,821,122,1583,402,10432
178,78,388,1159,54,823,122,1579,397,10380
179,78,386,1150,53,809,123,1564,399,10352
180,79,384,1147,53,806,123,1573,393,10360
181,79,386,1144,53,807,123,1574,399,10394
182,79,385,1160,54,811,123,1582,403,10418
183,80,385,1159,54,813,123,1589,406,10422
184,82,381,1164,54,811,123,1599,403,10439
185,82,381,1145,54,803,122,1593,395,10376
186,82,382,1151,53,809,122,1587,397,10453
187,81,387,1154,54,808,122,1604,405,10464
188,83,386,1164,57,812,123,1627,403,10564
189,83,388,1163,57,810,123,1627,407,10578
190,81,386,1168,56,813,124,1633,406,10611
191,82,389,1176,57,818,124,1633,405,10631
192,82,390,1175,57,817,124,1640,409,10647
193,82,392,1182,57,822,124,1650,406,10632
194,82,391,1179,56,822,124,1646,408,10636
195,82,392,1180,57,825,124,1658,407,10685
196,82,393,1175,57,824,123,1655,404,10669
197,82,392,1176,57,824,124,1651,409,10680
198,82,392,1185,57,835,125,1661,410,10798
199,85,409,1204,57,853,125,1689,410,10881
200,84,411,1211,58,859,125,1695,411,10931
201,85,412,1220,58,861,125,1703,410,10975
202,90,416,1234,60,877,125,1730,420,11160
203,92,427,1252,60,900,128,1761,430,11347
204,92,422,1256,60,900,128,1763,431,11358
205,95,438,1297,59,929,131,1826,441,11718
206,97,450,1310,59,937,133,1846,441,11810
207,95,450,1300,59,928,133,1835,441,11787
208,94,451,1293,59,932,134,1832,443,11781
209,94,451,1291,59,930,134,1840,439,11780
210,93,444,1291,59,922,133,1840,440,11733
211,95,446,1292,59,917,132,1840,438,11752
212,95,442,1275,58,904,131,1812,430,11606
213,95,446,1277,59,909,132,1815,436,11652
214,93,447,1276,56,889,131,1799,434,11516
215,92,445,1275,55,890,131,1806,437,11541
216,93,445,1287,55,891,131,1808,437,11521
217,92,447,1284,56,900,132,1809,437,11536
218,93,447,1286,56,905,132,1822,441,11566
219,92,446,1275,56,880,132,1794,435,11521
220,92,450,1291,56,887,132,1820,442,11560
221,92,447,1295,56,894,133,1830,442,11651
222,95,447,1289,56,902,132,1834,442,11635
223,95,451,1288,56,906,132,1831,438,11619
224,95,453,1297,57,905,131,1841,441,11662
225,95,449,1292,57,905,132,1830,440,11629
226,96,451,1290,57,908,132,1829,439,11640
227,98,460,1310,55,914,136,1868,445,11758
228,98,461,1313,55,927,136,1873,445,11776
229,98,463,1313,55,925,136,1875,442,11772
230,97,462,1302,55,919,135,1860,437,11708
231,95,460,1299,55,912,131,1849,436,11679
232,95,461,1313,55,920,131,1867,444,11735
233,95,463,1318,55,916,130,1868,442,11735
234,95,462,1310,55,924,130,1860,441,11711
235,96,464,1313,56,931,129,1884,445,11794
236,95,460,1315,56,936,130,1887,447,11776
237,99,459,1312,55,953,130,1872,449,11801
238,99,460,1305,55,947,130,1868,449,11765
239,99,462,1310,55,946,130,1869,447,11752
240,104,476,1334,56,979,131,1917,462,12108
241,102,471,1337,57,969,131,1908,460,12042
242,102,472,1343,57,976,133,1932,464,12099
243,102,471,1332,57,979,133,1924,464,12088
244,101,476,1355,57,980,135,1938,467,12100
245,101,474,1356,57,992,135,1950,469,12150
246,100,471,1347,55,984,133,1950,470,12059
247,99,472,1348,54,988,133,1961,470,12072
248,99,473,1346,54,984,135,1972,468,12073
249,93,463,1296,53,940,130,1901,450,11363
250,93,460,1294,53,940,129,1900,450,11328
251,93,461,1301,52,943,130,1892,448,11304
252,93,464,1301,53,941,130,1900,452,11337
253,92,458,1285,51,926,127,1858,447,10981
254,92,460,1285,52,917,128,1860,443,10966
255,92,458,1279,52,920,127,1853,447,10967
256,92,458,1285,52,920,127,1863,450,10917
257,93,455,1271,52,919,127,1865,450,10888
258,91,458,1267,52,919,126,1852,443,10756
259,91,453,1276,52,925,127,1858,444,10804
260,91,453,1276,52,920,127,1852,441,10766
261,93,467,1295,52,953,129,1889,440,10916
262,92,464,1291,52,942,129,1880,443,10916
263,87,456,1280,52,938,128,1855,439,10738
264,88,459,1278,52,940,128,1862,440,10751
265,87,456,1275,52,936,126,1862,441,10605
266,87,465,1293,53,950,129,1885,445,10735
267,88,465,1311,54,955,130,1913,446,10824
268,86,456,1293,52,936,129,1889,446,10576
269,83,460,1295,53,911,129,1882,449,10614
270,80,456,1287,51,910,129,1871,437,10473
271,80,457,1292,52,902,128,1866,438,10448
272,81,457,1290,53,907,128,1879,437,10491
273,80,456,1285,53,903,128,1876,439,10440
274,80,452,1286,52,904,128,1860,440,10363
275,80,450,1278,52,905,128,1863,442,10347
276,79,438,1258,50,879,123,1812,426,9960
277,81,460,1294,51,908,123,1868,439,10246
278,80,461,1296,50,918,124,1867,440,10207
279,81,466,1306,52,917,124,1891,445,10242
280,80,466,1309,51,919,124,1883,445,10225
281,81,463,1299,50,917,124,1879,442,10193
282,83,462,1303,51,913,126,1888,449,10196
283,82,461,1304,51,909,125,1878,439,10117
284,82,461,1306,51,916,125,1884,444,10180
285,82,460,1302,52,914,124,1878,444,10161
286,79,443,1252,49,882,116,1797,427,9513
287,79,443,1253,49,891,117,1802,430,9535
288,79,440,1260,48,881,117,1815,431,9518
289,80,445,1265,49,885,117,1829,435,9557
290,81,447,1263,50,893,116,1839,435,9569
291,80,437,1269,50,892,115,1839,436,9497
292,80,441,1264,50,880,115,1829,436,9483
293,80,439,1259,49,886,115,1815,436,9437
294,80,437,1252,48,885,114,1810,432,9393
295,80,434,1231,48,875,110,1779,431,9272
296,81,441,1236,47,874,110,1786,436,9319
297,81,430,1222,48,866,107,1761,429,9046
298,81,428,1206,47,853,106,1751,421,9015
299,81,430,1214,48,856,106,1763,425,9015
300,81,427,1212,48,850,106,1754,421,8941
301,81,433,1210,48,858,106,1758,427,8946
302,81,433,1202,48,858,106,1753,428,8937
303,81,433,1208,48,869,106,1757,432,8973
304,81,435,1205,47,860,106,1772,431,8959
305,80,434,1189,48,857,106,1745,429,8827
306,79,431,1188,46,863,106,1746,426,8812
307,79,428,1189,49,861,105,1745,421,8826
308,79,438,1192,49,867,108,1757,428,8835
309,80,436,1207,49,869,107,1776,428,8883
310,80,434,1194,49,869,105,1765,427,8824
311,80,427,1195,46,874,104,1772,427,8786
312,79,427,1171,47,863,102,1755,429,8664
313,81,433,1186,48,867,102,1781,432,8733
314,80,430,1189,47,873,102,1776,428,8712
315,81,434,1190,47,881,102,1781,432,8747
316,82,435,1189,48,879,103,1789,435,8760
317,79,416,1146,46,856,96,1737,417,8294
318,78,404,1127,45,839,96,1707,413,7976
319,76,405,1121,45,832,91,1692,405,7934
320,75,400,1109,44,825,91,1668,400,7864
321,75,402,1108,43,816,91,1674,400,7825
322,73,401,1096,43,815,91,1654,394,7673
323,72,398,1093,43,817,91,1657,391,7673
324,73,397,1094,42,817,90,1653,392,7647
325,73,391,1076,42,801,90,1623,380,7525
326,73,391,1077,39,798,89,1616,379,7486
327,73,392,1075,41,789,88,1609,380,7444
328,72,391,1083,42,795,88,1605,379,7438
329,73,388,1083,42,790,89,1602,378,7462
330,73,384,1072,42,794,90,1602,377,7460
331,72,396,1075,41,791,91,1617,376,7435
332,72,395,1072,39,784,90,1609,380,7419
333,70,395,1075,43,795,88,1632,379,7341
334,71,397,1080,43,786,89,1636,380,7330
335,71,391,1070,42,786,89,1631,379,7321
336,71,397,1065,43,791,89,1620,376,7302
337,71,395,1066,43,788,89,1617,379,7297
338,70,397,1074,43,787,89,1621,379,7302
339,69,395,1054,41,766,86,1563,372,7242
340,69,393,1048,41,761,87,1560,370,7221
341,67,380,1024,40,730,84,1511,355,6762
342,67,384,1032,40,735,84,1523,360,6781
343,67,389,1024,39,734,83,1513,355,6718
344,67,393,1030,40,739,83,1528,356,6743
345,67,393,1029,39,742,82,1526,353,6751
346,67,391,1038,40,747,83,1535,353,6745
347,67,391,1031,40,738,83,1537,355,6747
348,66,389,1036,40,730,82,1532,358,6723
349,68,389,1050,42,745,82,1536,359,6733
350,70,386,1047,41,739,82,1534,353,6687
351,64,383,1026,42,726,73,1487,351,6335
352,65,381,1022,41,725,73,1469,343,6288
353,62,366,975,41,696,69,1396,334,5732
354,61,355,960,41,700,66,1362,329,5562
355,61,356,961,41,693,66,1367,332,5548
356,61,350,956,41,687,66,1357,327,5481
357,61,348,957,41,684,66,1348,326,5470
358,57,330,913,39,635,64,1280,315,5019
359,56,322,901,38,626,60,1259,301,4833
360,55,322,901,38,623,61,1249,304,4784
361,55,325,913,38,631,61,1253,303,4792
362,55,333,920,39,640,63,1263,307,4853
363,55,331,922,39,643,63,1267,310,4859
364,55,334,928,39,643,63,1271,310,4873
365,55,340,919,39,639,63,1274,309,4860
366,55,337,914,39,628,62,1256,306,4714
367,55,336,918,39,623,62,1259,310,4713
368,55,338,923,39,625,62,1258,307,4705
369,55,338,913,39,622,61,1251,306,4655
370,52,335,902,39,605,61,1219,306,4615
371,53,344,919,40,624,61,1267,314,4645
372,51,326,892,39,605,61,1229,302,4431
373,51,330,907,39,616,61,1266,311,4476
374,49,329,896,39,613,58,1250,311,4324
375,48,326,889,40,601,58,1230,309,4224
376,48,330,892,41,613,58,1240,311,4257
377,48,331,889,40,611,58,1241,311,4239
378,47,327,887,40,608,57,1235,310,4199
379,47,349,922,41,651,60,1327,324,4326
380,42,324,859,36,612,55,1220,304,3641
381,43,345,893,35,634,58,1290,310,3725
382,38,337,857,34,610,54,1226,299,3451
383,38,335,843,34,598,53,1203,293,3287
384,38,332,833,34,598,53,1207,294,3268
385,38,323,822,35,587,52,1170,295,3155
386,38,327,828,34,592,52,1181,292,3155
387,38,337,837,33,604,54,1196,295,3175
388,35,309,774,33,569,52,1091,281,2740
389,35,309,773,33,566,52,1089,282,2714
390,34,297,742,32,542,50,1034,265,2505
391,34,297,748,32,542,49,1042,272,2525
392,33,298,754,33,555,52,1059,268,2547
393,35,300,751,33,562,52,1065,271,2575
394,36,307,756,34,572,52,1075,275,2585
395,35,306,753,34,563,52,1063,267,2551
396,35,297,739,33,553,52,1052,264,2494
397,35,306,741,33,553,51,1049,263,2493
398,36,311,751,33,558,51,1065,269,2534
399,36,320,748,33,568,51,1071,264,2543
400,38,319,751,33,571,52,1108,263,2564
401,40,321,750,32,580,49,1109,273,2565
402,40,322,751,33,575,48,1109,269,2563
403,40,327,747,33,574,48,1112,269,2559
404,40,321,753,32,571,48,1102,269,2543
405,40,331,742,33,573,48,1103,273,2531
406,40,330,752,33,566,48,1101,267,2527
407,40,329,743,32,568,48,1098,269,2503
408,40,325,741,33,566,48,1098,269,2481
409,40,324,726,33,561,48,1090,268,2453
410,38,327,731,32,563,47,1085,268,2442
411,38,336,729,35,564,47,1080,269,2475
412,38,335,738,35,570,47,1087,269,2473
413,38,333,734,35,571,47,1095,265,2466
414,38,336,739,34,569,48,1094,268,2483
415,37,337,746,35,575,48,1099,272,2503
416,38,336,743,35,574,48,1094,270,2496
417,40,340,749,37,576,49,1130,281,2505
418,42,349,750,37,589,49,1137,283,2524
419,42,347,759,36,593,49,1151,277,2534
420,42,345,766,36,588,49,1147,282,2510
421,42,346,765,37,591,49,1149,281,2512
422,41,353,774,37,604,49,1169,279,2545
423,41,352,768,36,605,49,1177,280,2536
424,41,355,772,36,604,49,1182,281,2549
425,41,355,771,36,602,49,1183,283,2549
426,41,349,765,36,605,49,1183,284,2539
427,41,366,771,38,619,48,1213,290,2573
428,41,366,765,38,624,49,1209,290,2560
429,43,377,782,40,623,48,1243,297,2590
430,41,372,781,40,626,48,1255,297,2574
431,41,372,778,39,628,46,1242,294,2537
432,48,464,890,47,789,51,1559,346,2879
433,49,479,899,49,806,51,1589,349,2908
434,51,484,922,49,818,52,1627,359,2940
435,50,485,923,49,817,52,1635,361,2939
436,47,486,918,47,816,51,1611,358,2908
437,51,500,932,52,847,55,1678,370,2953
438,50,495,926,50,849,55,1674,366,2949
439,48,491,924,51,842,55,1692,361,2908
440,48,499,923,53,860,55,1721,368,2908
441,41,473,822,48,813,45,1626,330,2406
442,40,471,825,48,821,47,1635,332,2412
443,40,464,806,48,804,44,1613,331,2306
444,40,461,803,48,817,44,1615,330,2303
445,43,473,828,48,854,45,1676,345,2350
446,42,480,809,47,857,42,1678,340,2294
447,43,473,808,47,856,42,1675,340,2290
448,42,470,799,47,849,42,1654,335,2250
449,43,470,788,46,846,41,1646,332,2210
450,42,472,790,47,849,41,1654,335,2202
451,42,471,786,48,842,40,1648,335,2187
452,44,483,794,51,849,40,1683,345,2189
453,44,482,797,51,850,40,1676,343,2179
454,44,472,766,50,831,39,1646,334,2030
455,45,475,761,51,832,39,1636,334,1987
456,44,479,767,50,832,39,1643,332,1995
457,45,475,763,50,840,39,1654,338,2017
458,45,478,758,50,837,39,1647,335,2002
459,44,480,764,51,835,39,1643,335,2002
460,44,484,768,52,838,39,1666,340,1996
461,44,480,772,51,840,39,1660,344,1998
462,44,488,773,52,841,41,1671,344,1983
463,51,530,813,53,944,45,1803,369,2130
464,51,530,803,53,942,45,1797,363,2123
465,50,547,824,56,961,46,1836,376,2171
466,50,538,818,55,958,46,1839,377,2155
467,50,539,818,55,959,46,1849,379,2145
468,53,565,841,59,1000,46,1909,387,2210
469,53,562,842,59,1012,46,1921,384,2208
470,55,569,838,60,1020,46,1939,389,2211
471,55,566,834,60,1025,46,1951,395,2210
472,54,554,795,56,994,40,1910,380,2093
473,60,589,821,56,1075,42,2044,401,2183
474,58,584,806,57,1071,40,2022,399,2161
475,59,601,818,57,1099,43,2084,413,2201
476,61,601,827,58,1101,43,2099,418,2220
477,61,601,816,57,1099,42,2097,416,2179
478,60,607,817,57,1109,43,2122,417,2187
479,61,602,811,56,1106,42,2107,411,2169
480,60,606,829,59,1112,42,2163,424,2228
481,61,608,837,60,1123,42,2166,428,2245
482,59,596,799,57,1102,37,2114,419,2123
483,58,593,795,57,1092,37,2115,415,2106
484,58,582,749,55,1083,34,2074,407,2036
485,58,589,759,57,1090,34,2114,409,2060
486,57,590,759,57,1098,34,2113,409,2054
487,57,584,755,56,1093,34,2108,403,2012
488,57,583,750,57,1092,34,2099,406,2020
489,56,580,735,56,1090,33,2097,405,1966
490,58,585,740,55,1094,33,2088,403,1972
491,59,586,738,55,1101,33,2099,407,1986
492,59,583,740,56,1101,33,2098,404,1983
493,59,583,736,56,1099,33,2095,404,1990
494,59,578,725,54,1093,34,2087,401,1978
495,59,583,715,54,1082,35,2079,405,1978
496,60,587,720,55,1089,35,2088,403,1991
497,60,588,724,56,1099,34,2094,406,1999
498,59,582,723,54,1091,35,2085,401,1979
499,60,578,715,54,1083,35,2086,400,1975
500,60,585,720,56,1092,35,2089,402,1988
501,61,585,723,57,1088,35,2102,404,2000
502,61,589,725,57,1097,35,2111,405,1998
503,61,594,723,55,1085,32,2105,400,1984
504,61,587,720,56,1089,35,2107,395,1983
505,61,583,724,56,1091,35,2100,404,1989
506,61,597,725,56,1097,35,2108,403,2013
507,60,593,734,57,1104,35,2113,405,2023
508,61,593,736,57,1105,35,2117,406,2014
509,60,593,737,58,1110,35,2121,410,2029
510,62,599,730,57,1112,35,2112,408,2033
511,62,609,745,58,1132,35,2151,415,2091
512,62,607,753,59,1142,36,2162,418,2104
513,62,612,753,60,1145,36,2166,421,2116
514,62,612,757,59,1150,36,2166,422,2114
515,62,609,754,59,1153,36,2173,424,2114
516,60,621,759,60,1169,36,2186,428,2137
517,61,621,751,59,1161,35,2172,422,2121
518,61,619,738,59,1161,34,2152,419,2099
519,61,618,752,59,1151,34,2154,421,2093
520,61,622,756,61,1146,34,2150,423,2126
521,60,624,752,61,1164,35,2158,427,2123
522,60,623,754,60,1159,35,2143,425,2123
523,62,631,760,61,1177,35,2183,444,2192
524,63,634,769,63,1182,36,2200,439,2183
525,63,639,771,62,1191,36,2218,441,2204
526,63,641,766,62,1196,36,2221,443,2192
527,62,638,776,61,1195,36,2226,444,2215
528,62,637,775,62,1195,36,2242,445,2232
529,61,638,766,61,1199,36,2244,447,2229
530,61,643,777,63,1193,36,2239,451,2229
531,60,643,780,63,1195,36,2248,452,2233
532,61,633,764,63,1173,35,2221,446,2195
533,64,631,770,63,1183,35,2232,448,2214
534,64,632,768,63,1181,35,2230,453,2204
535,65,637,771,63,1178,35,2238,451,2206
536,64,631,759,63,1177,35,2231,448,2213
537,65,634,774,60,1185,35,2239,451,2215
538,65,634,774,62,1191,35,2234,452,2222
539,65,637,773,63,1194,34,2228,453,2214
540,65,631,772,63,1202,35,2238,453,2231
541,65,637,777,65,1212,37,2260,456,2239
542,65,636,769,65,1207,37,2252,452,2229
543,65,642,769,65,1212,37,2260,456,2249
544,66,637,779,65,1215,37,2273,457,2239
545,66,638,778,62,1208,37,2267,456,2245
546,66,641,775,62,1206,37,2264,459,2234
547,65,641,777,63,1208,37,2260,449,2232
548,65,642,782,61,1202,37,2271,459,2252
549,64,638,774,62,1191,37,2262,459,2278
550,65,645,800,64,1201,39,2314,466,3508
551,66,644,800,62,1207,39,2313,467,3518
552,64,651,795,61,1201,40,2310,462,3503
553,66,645,805,62,1218,40,2323,464,3546
554,66,647,807,63,1219,39,2323,468,3567
555,66,653,811,63,1218,40,2350,468,3634
556,66,653,814,64,1229,40,2361,472,3641
557,67,668,820,63,1251,38,2398,481,3685
558,67,666,825,61,1256,38,2415,482,3687
559,67,676,832,62,1258,38,2430,486,3738
560,68,675,827,63,1260,38,2421,483,3683
561,65,682,841,63,1265,38,2442,482,3736
562,65,685,843,63,1270,38,2451,484,3769
563,66,678,843,64,1269,38,2445,487,3742
564,66,681,844,64,1270,38,2453,482,3759
565,66,683,839,64,1266,38,2437,484,3750
566,65,678,831,63,1258,38,2417,478,3746
567,65,665,822,61,1251,38,2403,481,3709
568,66,666,828,61,1264,37,2404,478,3714
569,65,666,836,62,1246,38,2411,480,3890
570,65,670,828,63,1238,37,2388,476,3885
571,67,668,833,59,1250,38,2421,481,3921
572,67,672,840,64,1253,38,2421,481,3911
573,74,699,888,64,1288,43,2524,508,5129
574,74,701,897,65,1293,43,2540,512,5191
575,74,700,878,64,1289,43,2535,509,5154
576,74,698,883,63,1284,43,2531,508,5167
577,75,706,900,65,1286,43,2532,510,5227
578,76,706,896,65,1286,43,2526,508,5243
579,77,706,893,65,1303,44,2531,512,5272
580,78,707,899,64,1304,44,2536,515,5347
581,78,707,899,64,1302,43,2533,513,5348
582,77,707,895,63,1293,44,2531,515,5308
583,78,715,914,65,1308,44,2561,515,5386
584,79,718,918,64,1322,44,2573,523,5473
585,79,724,915,65,1326,44,2575,523,5503
586,80,731,926,65,1338,46,2604,525,5559
587,80,728,924,66,1330,46,2602,522,5584
588,79,733,922,67,1328,47,2631,522,5621
589,79,728,913,66,1318,47,2605,521,5570
590,78,727,913,66,1316,47,2591,517,5569
591,79,732,913,64,1313,47,2601,524,5587
592,79,723,913,62,1308,47,2594,521,5539
593,79,725,908,65,1314,47,2593,521,5528
594,79,728,901,62,1315,48,2577,518,5521
595,77,729,905,65,1312,49,2573,514,5530
596,79,737,899,62,1318,49,2585,516,5536
597,79,728,895,65,1315,49,2586,516,5529
598,79,736,904,64,1308,51,2593,519,5552
599,79,733,910,66,1311,51,2582,515,5535
600,81,736,909,63,1318,51,2591,518,5551
601,81,746,919,66,1330,51,2608,525,5628
602,81,747,920,65,1327,51,2614,525,5645
603,80,738,910,64,1321,51,2593,524,5577
604,82,740,916,64,1323,51,2597,523,5641
605,80,730,908,63,1309,52,2586,523,5690
606,80,730,910,65,1310,52,2567,522,5646
607,81,738,936,65,1330,52,2626,529,5725
608,82,740,946,64,1343,52,2639,531,5815
609,79,741,931,63,1315,51,2615,526,5700
610,80,740,941,65,1336,50,2645,535,5818
