"position","sim_001","sim_002","sim_003","sim_004","sim_005","sim_006","sim_007","sim_008","sim_009","sim_010","sim_011","sim_012","sim_013","sim_014","sim_015","sim_016","sim_017","sim_018","sim_019","sim_020"
50,1695,15145,16702,12628,19927,16400,5379,5621,10374,7127,2709,18609,7282,6000,9065,3977,9201,1406,14189,2976
51,10406,13135,9039,15565,11950,13713,2114,5433,12212,14938,10330,3508,19161,6774,10827,930,15875,2112,16987,14998
52,18283,15990,14494,18756,7530,11605,2842,9584,2829,3721,14322,14597,14594,19115,15341,2210,12306,13780,19736,5413
53,10178,5298,17984,13201,1233,19860,5956,8876,8208,10797,14134,17010,19397,1796,13079,17107,4116,18670,5134,13987
54,17963,5766,16985,14510,12582,6802,19791,16096,7201,13522,13527,15652,8945,979,12594,17778,3957,988,11728,13819
55,2376,7457,12510,13571,11966,15772,11442,14312,7642,1302,14471,8797,11302,17456,17992,239,15036,700,6284,1954
56,956,10009,18060,3397,8433,1741,11900,17789,19621,11674,14544,3584,19859,6692,7402,3977,12392,12752,12725,9817
57,9175,6198,850,7175,5973,15179,11692,1876,7212,14167,18641,4971,16960,14524,9180,4521,745,8278,9619,4595
58,19454,8107,7304,2131,16037,10709,11570,1840,11723,15489,9156,19583,12501,13275,3110,12323,13264,18580,12792,6991
59,4540,16569,18066,11684,3476,14678,8733,12485,2758,8896,5022,11856,2493,4933,15805,3227,4711,6411,8814,1729
60,7612,17620,8148,13198,12486,2178,8019,14014,8551,19434,16276,1633,16015,9577,357,15643,3992,4747,8968,4756
61,18832,13495,2782,19078,4279,9891,13465,5744,1543,2997,2218,19730,16307,19448,19009,19418,17014,18683,16242,1207
62,15753,1817,14421,17275,433,5555,651,5455,15200,19737,18909,16424,19643,3626,19548,1464,15535,12647,6939,3393
63,17095,3739,933,7000,13565,17414,2059,8844,16819,16774,9982,2965,13460,3971,5102,5324,1851,4418,15361,18498
64,17406,3703,12679,2290,19944,6269,11183,15793,11062,8031,16456,19946,11685,13361,1581,16328,1247,5062,14204,17867
65,2439,15120,1144,4377,5160,16438,14407,9194,4512,4897,1238,13704,15520,19433,17230,7181,18866,17356,2330,417
66,11356,12690,986,6989,1264,1554,1906,940,12521,15536,19902,16974,14194,10221,13073,9796,6481,19263,5711,15079
67,19765,15400,7004,14435,15411,5658,15792,15278,1701,3079,10129,2642,14902,18976,3662,6059,12728,17750,19712,19983
68,4361,14552,2717,1305,4290,13580,16363,17150,16575,13785,8718,1233,8426,18774,13489,277,2826,12722,6443,4070
69,19495,12955,14272,5068,7323,18758,17713,17020,16385,3851,17691,17970,14201,15298,11964,17224,19624,18934,13603,19582
70,9699,14414,2817,739,19752,12029,12692,17192,18785,2455,14965,18486,11290,16042,11007,19856,801,12267,18255,433
71,7617,2338,5237,8871,6643,19820,17391,12337,11679,11330,11678,10105,12202,12514,16877,15079,1937,4361,5180,3927
72,4320,11855,3084,17594,8662,18516,3599,10882,10731,18103,9335,3646,9180,16169,11869,1898,9824,8187,5553,5197
73,16259,4246,7203,8782,17358,10731,16582,7855,5987,16828,1657,12038,16634,1142,7816,10166,11988,18579,564,4478
74,5616,190,11051,11758,367,19202,13929,19083,6118,1867,7594,13269,6934,14780,1160,1890,14217,19492,19451,16342
75,18619,18799,9931,13902,16875,9084,15000,11514,15507,11524,4886,5970,16871,13352,17745,12412,10690,9649,6933,3622
76,9989,8973,8324,1829,13405,18799,11590,3509,4375,137,6424,19026,8434,8560,6622,2662,14909,12678,7608,18431
77,14646,3030,6794,15142,4753,17675,10929,3210,10960,249,12318,1255,6420,2282,7280,15614,5810,18787,10661,8305
78,12463,9167,4929,1886,18574,13727,18633,1014,751,4277,1513,1338,14197,6265,3872,9904,3294,13008,10494,17938
79,6670,15639,19705,2638,1320,17153,18912,5240,18621,19245,7293,17021,2067,8784,18780,16306,7659,19205,18644,13991
80,15911,10700,13333,15740,11363,13013,5668,19748,11684,19586,11392,18079,17013,8678,3516,13062,19510,10467,15433,19915
81,5993,12532,7986,9437,2011,9573,2426,5816,17303,2606,9475,12625,16104,1944,8242,11866,18817,5419,15404,12543
82,18437,18256,15609,8509,19837,8579,3638,6109,11902,210,14143,879,13833,10944,7554,17675,3555,14795,13722,7409
83,13925,209,1801,11347,12466,4862,6471,10670,14646,8203,7671,15692,3846,19456,19156,18253,11065,13553,12273,5527
84,19675,4277,8779,17406,12745,17301,15005,4225,14122,3382,14739,19019,2328,1604,2248,4996,4049,1507,229,3308
85,11181,5192,2818,4319,3414,229,4428,7944,18252,15847,13491,6280,5054,17892,4625,16362,14915,15237,7864,17673
86,19482,6013,9543,5153,6699,1618,13972,17175,7780,19285,3967,870,6825,16143,1081,14553,7546,19812,18473,9494
87,18459,695,13201,3070,11150,3358,13522,10923,16959,16639,2699,5613,2349,5629,11174,4663,6825,15556,11969,11603
88,6166,15176,11813,7371,8713,7526,6848,3349,18562,18027,15615,5997,13312,19273,19910,19037,4368,14974,1113,12888
89,7329,17724,15087,16007,4861,826,9343,885,9073,7112,14145,16665,3930,5185,5649,6992,4411,5439,2735,13274
90,18431,18418,8499,3055,10228,10655,7127,9078,2139,9608,7358,7974,3798,15216,6281,19935,7336,9163,3968,18354
91,15936,15762,10525,913,12638,6383,14265,19221,913,12444,6965,9109,19886,8365,17775,2571,18593,8871,18613,8982
92,6039,5965,13456,572,15448,17385,19640,18635,12986,11589,1098,9229,3540,17628,9586,8318,4598,1246,6026,9296
93,5108,3557,6334,6189,8824,4320,16555,10077,18893,17254,1894,3703,4075,2312,15748,5031,9657,15428,12975,8327
94,10631,14300,2538,6464,19030,19607,16862,15932,1155,9400,8374,8046,4589,13768,12000,2675,944,6698,6030,10853
95,12040,8343,1650,12594,13430,3948,9645,13728,697,19195,7761,2246,1846,3456,18008,11540,9232,13674,186,4602
96,18190,18248,2451,2751,17058,7500,6640,17403,17627,15702,3868,16361,16392,3021,11259,18666,19798,17335,3679,1274
97,2617,8260,18489,1584,15337,4981,3761,12991,3100,6595,9654,12096,11682,17626,3588,3331,10983,11338,6344,10341
98,7724,19028,18669,5502,18103,14808,8796,2470,675,1791,2101,17224,19483,14215,11769,2287,18956,9244,1307,15499
99,7022,11680,5999,1150,2995,10069,18489,17287,8705,718,8413,11607,14980,19848,2670,15743,4771,13608,12171,6955
100,12209,270,15729,14684,7411,6247,16565,13954,19873,13473,19594,16210,7494,10694,15877,7468,15645,15658,992,5255
101,10145,5635,7615,12034,1376,2499,1243,4484,4947,11424,9459,821,16185,8220,4182,2577,19373,11424,1011,634
102,17129,10714,10540,14893,14084,9699,17933,16240,13275,1842,3030,13987,5250,16478,3918,850,8632,17477,6781,4857
103,1553,10787,13085,175,1873,12155,7375,7661,19184,10602,407,9835,6085,8861,11214,3625,18778,10883,13338,12831
104,7757,15550,17688,5789,930,15254,1887,7840,13642,14654,18738,10647,12341,13830,18672,10439,2932,14890,13748,2542
105,325,7503,17448,9005,18369,3177,8561,14842,5773,443,4406,14213,17210,3076,2671,2580,11803,16252,2423,11399
106,16159,7417,8710,12934,9419,2017,13896,18855,17075,18631,1385,10009,13984,15105,4653,10609,13584,7385,7877,8503
107,14198,7471,12039,17536,2374,17724,14981,8514,15945,12741,14696,11178,18760,11326,209,11288,8889,14258,1729,9452
108,2022,9769,4442,4432,3387,12314,9137,19442,10525,9827,18039,12719,11114,1156,832,4178,19425,6249,8830,6005
109,1919,5575,18561,19050,6235,6215,8060,13077,13167,4029,440,17919,8289,10054,5277,6380,818,5503,3395,1319
110,3071,17982,8430,1223,5042,6526,4067,1401,8897,6197,14648,7246,14059,13759,1641,468,18620,6971,7224,16835
111,3462,11309,14822,5266,3289,5171,117,5710,4176,6954,1218,16117,9943,12324,7766,18845,9314,13260,1307,19426
112,2871,16335,1275,660,10333,3901,9221,15337,8544,5948,18027,16544,17853,16198,14568,6029,15146,7416,10570,15891
113,625,17630,1436,8054,9445,12014,5369,1775,9427,18820,8260,3087,1888,10734,3926,15888,5950,12009,10335,13028
114,17587,16335,19295,18207,15124,3194,17721,6425,2729,2619,11879,1749,14009,1310,10504,14393,15946,10790,1892,10014
115,3088,5890,15869,19567,7362,8605,13134,12837,1503,1201,3275,1563,8981,11297,10843,8447,7928,16556,19841,3412
116,13977,6624,551,3042,713,17420,4426,2120,7280,1056,19669,18497,13926,10307,10835,15565,5353,19311,9378,2184
117,8149,8711,9220,17382,5033,15750,16977,19914,15978,7004,18663,15009,5074,7630,14535,16890,18170,1310,7405,16325
118,19489,3560,16809,10381,12391,12157,8563,18232,10181,1494,17676,428,2743,11745,17003,17702,9807,4480,6268,10151
119,18185,4810,1519,2562,712,17548,8288,19923,16708,3633,387,2793,15942,6360,10856,15623,1267,7711,14993,6870
120,1944,3892,15573,886,10808,10200,4877,12971,18992,2385,13104,1279,7644,15105,3593,9085,1822,1094,16114,16376
121,8211,9266,1314,10662,5822,10244,6827,16325,19303,16020,18205,7957,9349,663,9170,16338,1934,18892,7001,19579
122,2551,15125,10367,12424,16481,10407,11987,6472,6778,13923,17240,2964,19994,15915,12793,17006,1409,2364,11711,14223
123,2350,12175,10618,15594,2997,14077,5191,276,2088,11780,12747,8798,17271,14410,15300,17082,4160,18299,16811,11642
124,2656,15560,5825,19824,19519,19769,3462,8700,376,6588,4572,14694,198,14390,19454,687,7324,17452,9146,960
125,7879,13258,15627,19624,15825,13895,10058,14261,966,2930,9754,10151,8515,208,4658,1819,7914,9126,17837,15017
126,5447,12122,9600,19883,10578,7844,5817,7183,19551,11059,5654,19854,11508,1124,8424,9118,1272,17949,9730,2329
127,5380,18698,2638,6567,13940,11397,1030,8580,10044,232,6541,7573,13298,16440,17180,10449,19193,5286,15824,1533
128,2952,12777,10827,12376,552,13451,14734,11610,7186,14802,120,7288,12937,18890,13101,4407,9854,11350,9512,8711
129,15873,5977,2722,219,11091,19220,5757,4737,15270,17523,7652,17747,19975,18627,3298,3998,14976,18968,8031,8684
130,8635,14038,9270,2049,15544,15665,19961,216,12416,6043,14486,1930,17251,17758,9545,10538,18587,7089,8817,2719
131,342,7069,18691,5199,5628,9069,4716,11117,13972,5178,13423,13568,7734,6566,8537,814,19730,15357,17274,6072
132,10940,19568,1091,1277,1729,14546,15613,12738,12665,13985,19615,14535,8676,6913,13352,12470,3638,13180,961,9501
133,7805,10713,8577,1252,4319,11978,1780,6224,1075,9575,1308,15838,10431,18302,11588,12635,6551,10151,13571,7811
134,3938,14761,16262,15596,18354,3401,15685,7300,9482,18042,9946,8562,14449,3738,15864,12270,14997,2630,15907,14283
135,18891,7968,16154,7678,17990,862,8647,5600,1469,6973,3623,9607,7460,19878,18399,4745,9293,9246,12188,13350
136,13583,7541,8592,4321,15627,11740,15808,16376,1830,6255,19896,17245,4776,3807,17308,14978,752,19044,16769,2601
137,6469,2154,16058,8512,3184,9122,12572,15009,18168,7417,18017,17152,8720,12816,17601,12689,16286,10240,3874,16772
138,8914,7056,2003,3983,4056,11000,19062,17142,8540,12064,6281,14883,13096,3420,16058,584,3799,4064,2111,7581
139,5786,3476,7814,18734,7074,12632,19383,19834,1805,11131,17110,13856,12315,11628,8269,19176,7382,5933,4155,3051
140,5656,5784,9859,1438,19532,11295,18726,17170,2650,16021,15552,299,12722,18400,13304,18245,5762,3749,6783,15545
141,13235,8864,4863,19476,18452,14421,5921,10836,825,13303,17960,1426,1509,16683,10073,11340,2304,3011,17732,1949
142,1101,9240,13174,9383,14544,1705,9642,11724,19684,18460,7390,16934,10695,12246,16837,816,17226,9948,6372,16584
143,16479,10276,8840,15993,10977,2833,8161,18051,8741,4200,7052,17026,6964,11569,15073,10666,16778,19387,7756,1784
144,12905,9116,2003,19854,3884,7517,5158,5549,1240,5356,13013,13814,3176,8516,12950,12539,9036,1450,4453,2220
145,18844,15481,8332,16592,1132,19642,2472,4668,17566,16197,11241,496,18702,15969,2992,16850,12082,4326,11047,17711
146,3949,19833,8060,6803,8864,5927,14704,560,4948,19479,17000,12484,4621,13683,4294,13437,19623,12631,19403,16999
147,9602,8179,15430,16541,1640,8595,8403,6194,11536,16744,16149,1130,2317,790,4966,10109,1832,11420,7577,19181
148,12040,11435,14393,5561,545,3203,5949,17171,6612,8188,13686,8261,15081,17439,10536,5752,4819,10084,19575,16746
149,4751,12606,14003,2573,4254,15805,2806,13234,11279,7877,6734,6160,5915,10612,16279,2614,11061,15125,3204,2091
150,2802,5671,13398,5687,18817,4839,1209,9439,17444,356,8702,3423,19139,9168,14252,14624,9105,9000,18400,17237
151,12466,4393,11602,7190,10925,13402,11606,7823,12279,2914,2466,8814,3907,19414,16885,11600,16415,19772,6088,19570
152,3376,2369,2361,1877,4564,4005,1712,5158,15760,15050,5066,13546,11905,3839,14078,378,1437,18499,12823,11173
153,2505,999,19975,5358,16210,3973,7092,8025,1497,11810,5916,16888,17603,5302,10226,7076,7033,557,11800,9408
154,19025,12259,4641,104,13933,17769,10688,18838,19646,6901,6692,15178,4654,16230,19975,5357,15235,9765,6098,18308
155,17506,16502,18512,10551,724,10487,8524,6695,14417,12835,19023,9394,16212,18211,15805,17951,3112,12548,10720,12124
156,3321,6145,6545,6310,18925,6532,7675,18903,7796,15171,477,11581,13611,1500,1405,15779,15463,17679,7374,12006
157,10790,12909,4052,13216,13787,6562,15807,11899,18291,4354,15008,1600,10566,3633,7367,10367,11159,4625,10262,9945
158,14498,2060,11627,1023,3238,15972,12156,5809,18443,18354,6306,12386,13612,11331,18072,2960,4177,2934,4504,7919
159,19494,7144,1757,16693,2144,13632,13209,17421,13918,5483,15838,8808,5375,6868,7002,11646,11931,2462,15267,4398
160,3067,5718,7372,10413,12475,2609,15663,8030,5409,1452,14956,19549,5730,2323,15810,2994,1499,18437,2037,8252
161,4292,6428,5803,16759,17614,1858,18220,19708,19750,1500,7378,14134,19441,12202,1908,17235,7143,12660,7135,17304
162,12363,1200,9238,1218,227,1086,6580,15060,19514,805,12093,16768,14978,15657,10367,7519,18765,19020,15197,10629
163,18444,15335,3791,13739,9329,11898,9028,13637,12875,9295,1873,9711,4129,4739,17678,12217,1636,2379,12861,1714
164,1229,10046,288,9772,4390,4338,15158,1186,2475,14358,5842,10735,18423,4956,6763,7075,6504,1151,6212,481
165,13411,13434,12977,17404,18915,2522,11404,17062,815,18093,7853,16104,13065,7938,4498,6900,6017,8518,5033,18574
166,19023,5938,19269,16603,10901,12109,17770,12960,5532,17221,2500,15586,19257,16523,11051,17876,19640,5877,12390,8062
167,18920,13035,18828,5427,12627,13879,19410,9710,11323,10807,3193,17269,16568,12076,13281,19031,15495,2810,753,3168
168,7313,9520,15350,17269,7503,2661,10973,2095,15281,6245,16398,7953,15805,19042,9370,7348,12913,19764,1808,5398
169,7664,14327,19715,10095,18000,2066,15708,4429,9216,4625,6670,8709,8629,8331,4732,12145,10187,3971,18826,8237
170,14392,13983,18279,14672,4938,1394,4502,8715,18996,3132,6664,12894,16028,9104,12841,19467,19354,10880,9787,464
171,3454,11137,19411,1851,3225,13573,11513,8768,2750,5145,9238,3712,6459,9371,2741,9350,3028,16866,8522,2404
172,12336,17865,3908,11702,17734,10583,3335,15205,4605,18140,6928,10425,8348,18466,4178,17476,8581,12019,2616,17855
173,1578,1674,13672,6239,3530,1537,17745,1023,15191,8260,14605,11516,17245,5189,19051,16937,16467,6738,13886,17967
174,14892,13045,9991,15154,3324,9295,18487,4586,12015,2381,10624,436,11784,19775,4146,3753,15964,1309,11195,13845
175,1823,10931,13462,14736,5867,3126,18140,8553,9783,13458,16124,6813,6502,649,12743,1783,11714,18170,17102,19061
176,13567,5925,10838,8916,13155,10992,2143,17003,495,16575,13860,9755,9057,10566,1428,8659,13641,9326,14793,17733
177,2621,785,17973,11048,7639,5877,2836,13193,6515,13803,10861,2573,1872,10224,11782,11831,4516,1747,11762,4524
178,6719,17264,15216,2333,18415,7223,11394,7559,15329,732,13968,17193,3929,3532,1303,6322,4968,12736,16861,948
179,16821,3163,10147,17036,7718,4526,17158,8590,8250,11509,10661,7950,16714,13110,10023,10742,15247,6698,11271,1516
180,14905,10313,17632,5074,9930,10181,17907,4530,19797,16004,12448,17300,13599,4826,11873,13769,5440,5166,14426,13530
181,9468,7418,1001,5893,15757,7699,14174,6615,16335,18009,989,16231,9337,11307,10970,1631,13521,16390,506,13601
182,9408,17811,8949,14920,13308,9515,9878,13058,2511,9895,17052,12707,10576,6339,8430,17333,6606,5033,9123,3991
183,6671,9036,4674,9572,4004,9895,18554,156,13940,11716,16743,12127,6777,13970,801,4913,6121,13200,8177,6184
184,4518,13767,3425,15324,11316,19789,5406,2113,5854,7630,19470,4913,11059,5736,478,13936,18145,11405,15962,4187
185,12225,10025,3044,15881,9254,1838,8807,16398,238,19720,10875,7221,15350,18495,11441,3047,18628,6007,4396,9399
186,10287,3510,2036,17083,3296,12282,6946,18897,17381,11653,10816,10039,9486,14554,15396,5513,14906,17447,249,16052
187,4242,2863,8089,15444,16212,3857,14425,18526,8341,5685,6396,5614,11996,8322,12798,9611,6376,943,1446,8402
188,6821,5260,14284,7059,14511,8102,15053,10489,7347,272,9905,8723,11449,980,14159,5996,1527,6299,16532,3102
189,4110,11261,4865,6393,8792,1860,8697,4788,6397,9891,6728,6404,478,12157,12773,5365,1088,12600,1146,10205
190,10091,8616,18265,6549,13630,10861,11197,15699,12896,9405,16588,18097,9168,18245,13586,15738,11582,5981,4589,2392
191,10047,5278,15335,1059,17918,13998,17096,9381,1429,17665,3860,10460,11472,1617,10011,19748,15516,19597,12410,13164
192,14525,10124,12132,15564,17759,9777,3111,15819,15472,3257,19792,5786,19897,8456,15878,15767,4694,14853,17306,5301
193,14686,8546,19639,14516,13752,3054,6147,11366,4946,15613,2030,10676,14227,16019,8764,1519,13872,15181,736,8005
194,12655,9839,16244,14297,2497,3192,9445,17144,15814,5709,1091,2230,5949,12884,19585,19644,6254,8838,12686,5197
195,7299,5200,17633,151,589,8865,11628,5375,2545,3484,11840,16947,19872,6876,4118,17042,14594,6796,447,16304
196,19612,13653,8985,5394,4616,4522,13872,9207,9378,19012,12942,5581,1136,15975,14529,11276,11850,4401,13571,7980
197,401,1022,3488,10769,6824,3381,10633,3854,2621,5476,16343,9697,4824,6834,13925,13044,2009,15434,2009,13022
198,5067,19567,4261,10828,10140,15108,10523,1676,3301,16795,8177,16164,14443,14917,9898,11312,15921,7661,11708,14440
199,7432,9825,993,14974,11168,12611,1295,15125,7945,533,12485,7870,455,18361,17152,15772,16896,10662,4504,12700
200,15136,7964,12221,19475,758,13033,11674,7126,14034,17764,8813,17634,11853,17950,8075,3864,17016,247,9916,276
201,14983,12401,12659,17160,3289,3323,17519,17851,17250,5284,1584,1456,1396,8629,6524,16086,2282,11144,17996,13219
202,6523,5052,11995,14080,7748,18645,1174,4621,10248,4779,2843,2718,16283,5729,15878,7731,7234,6326,16717,13045
203,7511,11513,7832,12270,19785,17102,6763,14578,6632,9133,4970,6507,532,7398,17190,11676,3450,10488,4942,8114
204,9221,9506,11849,8502,4290,10716,17295,18696,3962,11686,12792,1013,10636,7803,4506,3419,1985,4333,19150,6521
205,17938,14233,3247,680,7574,2114,4212,5901,13546,17083,2419,12395,18572,19540,9622,18013,361,16892,14491,13967
206,18109,7314,10952,6110,6280,17136,3629,5279,4467,4483,8061,1044,16833,10722,10024,15248,13192,2787,1566,16270
207,11836,13128,15480,257,11814,6817,13227,9632,19148,18272,19669,668,9877,16451,5248,12283,11837,18783,9870,9757
208,5119,1897,4508,1293,4861,11832,2822,4584,19330,1126,16068,8036,1466,18454,15948,5723,8145,19338,13452,6089
209,19714,16306,10227,2545,2308,19710,5699,13146,17756,12241,16671,6402,8802,2601,17286,3794,4815,12346,18869,9550
210,10029,7973,9246,3181,15573,13073,17236,15794,7545,1036,2440,6558,11301,14361,8706,14911,4744,1638,13964,8057
211,7444,8035,18915,6663,8580,5033,713,2375,11977,19410,4160,15750,16587,11386,19348,18913,19163,916,12919,8148
212,11591,4692,6695,1693,14539,2938,9775,16368,18981,5469,473,745,4346,6538,8821,13228,17878,6266,7514,6499
213,1351,9653,15774,16967,5319,12920,3278,16381,11069,14445,12210,10783,13571,18296,6593,5736,2553,14647,9425,11215
214,2627,15745,14242,18049,5996,19647,14482,4804,14753,7916,2594,10248,18915,5095,19608,15178,2264,1619,19236,15215
215,16764,6219,3065,16616,4669,14090,10202,15399,9473,6823,14541,6001,14330,15340,7789,9400,17433,2286,17007,2324
216,15939,9507,5813,5566,12857,18998,14545,17418,16373,16414,9852,15870,5090,16435,18707,18513,9026,18782,13229,8902
217,18149,14657,2548,4906,4498,831,5924,5799,3044,11195,15466,18356,13798,19116,14566,11091,5619,2626,8221,14749
218,11254,5099,12173,15043,950,4092,8822,10728,830,8473,6227,6096,15203,4324,2950,4705,19879,12573,14974,12881
219,17728,9804,3495,17964,13639,17778,6329,7663,9745,6311,2603,5063,608,4118,4873,6987,2333,14519,3890,1682
220,3535,18818,3882,3915,5702,15602,15276,2434,7544,5849,4535,7556,8837,12185,4750,4104,9423,11033,7488,6356
221,17818,19562,6763,15022,13216,19854,8367,13692,9548,8459,9462,484,1259,9461,15779,2616,13182,3212,15493,19358
222,17543,2032,5150,468,4201,11676,7982,8983,11975,8967,3467,4445,4037,13482,3290,17037,18677,13953,8642,5421
223,6592,14816,7201,11179,1947,1849,2361,1554,1496,2508,7410,17879,7657,12191,17060,17894,10428,2777,18574,1669
224,9326,17769,9880,12059,7241,13219,10185,18683,7274,12542,434,672,2873,7685,11623,3532,3692,18654,1467,17283
225,19274,3849,9437,2430,9971,9071,12463,9600,17385,8466,3776,15662,3005,588,19521,15866,15394,6598,10546,14898
